# DECODE R10198, Desmarets, Marly 4 June 1710. Transcribed from the DECODE page images (590 px), 21 Sept 2026.
# Glossed lines: "G |" = contemporary interlinear decipherment (above), "C |" = figures below it.
# Unglossed lines: "U |" figures only. [?] = uncertain reading.
# page 1
G | on a voulu tenter un evenement, dans l'esperance
C | 1 27 479 119 343 174 402 350 408 4
G | qu'il pourroit estre heureux, qu'il seroit changer
C | 558 86 526 539 473 467 508 531
G | la face des affaires presentes. Soit prudence soit
C | 35 83 201 373 408 568 467 415 531
G | impossibilite on n'a rien fait, mais il y a grande
C | 200 347 356 224 12 43 126 389 411 83
G | apparence que ce qu'on n'a pas tente volontairem(ent)
C | 111 448 357 262 56 549 94 448 317
G | deviendra force et que l'action qu'on n'a pas
C | 538 477 512 541 446 29 1 347 161 394
G | hazardee dans ces premiers temps deviendra
C | 116 516 252 49 101 61 114 2 186 540 116
G | necessaire et inevitable, peu de semaines
C | 94 32 43 209 92 85 477 174 212
G | feront connoistre ce qui en arrivera. C'est
C | 479 288 549 113 49 83 382 56 261
G | cependant la raison qui a fait differer de
C | 212 549 439 308 78 43 563 32 224
G | renvoyer vostre courier, la depesche q(ue)
C | 388 62 209 92 85 231 161 301 540
G | vous porte vous fera connoistre qu'on
C | 56 304 526 43 477 411 459 250 23 559
G | s'approche et qu'on se dispose a aplanir la
C | 463 221 116 439 558 183 493 22 4 144
G | difficulte la plus essentielle, le pouvoir
C | 189 297 493 4 261 247 501 552 301
G | qu'on vous envoye est assez estendu et on ne
C | 64 476 424 144 89 1 170 306 206 94
G | s'y rendra pas absolument, si vous pouvez
C | 461 229 116 540 394 136 161 183 170
G | tenir a vous d'avoir des seuretes et des
C | 43 513 224 480 461 161 516 318 415
G | eclaircissem(ens) sur les demandes ulterieures,
C | 179 534 56 83 343 128 78 65 343 147
G | ou veut la paix ou la veut seure, mais
C | 140 373 394 230 224 221 564 111 50
G | on veut encore menager l'honneur de
C | 467 505 538 78 29 385 415 122 306
# page 2
G | son gouvernement. Enfin pourveu que les
C | 206 209 493 535 203 50 563
G | demandes ulterieures n'aillent pas a
C | 209 64 321 161 27 123 133 78 224
G | des demembrements entiers et qu'on les
C | 318 132 230 554 29 101 114 521
G | borne a peu de chose au dela des preliminaires
C | 264 347 429 344 40 290 209 505
G | on s'y portera, le peu qu'on vous envoye
C | 116 128 35 487 64 301 489 116 66
G | est en chemin de conduire au traite
C | 563 52 549 347 4 111 560 429 116
G | il ne se conclura pas sans bien des
C | 439 85 111 27 246 313 343 86
G | explications et des conferences, mais voila
C | 512 385 538 119 8 301 334 22
G | au moins un relachement qui peut produire
C | 161 160 324 552 27 276 126 69
G | la paix, ce qui n'auroit pas este selon
C | 29 111 563 126 451 221 22 452 111
G | toutes les apparences si l'on estoit demeure
C | 231 1 86 153 78 40 111 56 269
G | fermes dans les premieres resolutions.
C | 231 119 101 402 49 197 424 1
U | 219 33 224 532 52 347 224 219
U | 166 69 252 1 219 166 51 414
U | 92 356 101 365 66 243 86
U | 116 132 347 508 151 32 118 56
U | 269 111 119 101 402 49 197 424 347
U | 101 554 391 315 27 149 56 3
U | 353 377 86 111 4 347 429 250 563
U | 209 118 160 78 558 27 501 56
U | 115 64 67 56 224 126 411 446
# page 3
U | 459 92 49 83 111 1 231 560
U | 538 78 402 27 40 123 347 209 385 559
U | 116 128 35 350 50 459 347 508
U | 486 83 27 350 120 410 558 64 219
U | 204 343 122 315 506 453 126 267
U | 272 293 62 111 563 126 249 415
U | 362 183 252 479 49 224 67
U | 124 350 83 224 50 382 461
U | 501 357 203 66 22 4 224 532 43
U | 461 92 373 565 315 4 29 64
U | 437 256 111 118 186 27 362 183
U | 512 437 563 258 56 3 119 83
U | 415 78 3 526 118 411 459 250
U | 424 57 62 111 | Je suis tres parfaitement Monsieur Votre tres humble et tres obeissant serviteur [signed] Desmaretz
