folio	line_id	locus_type	lang	hand	illus	quire	para_start	para_end	line_words
f1r	f1r.1	P	A	1	T	A	1	0	fachys ykal ar ataiin shol shory cthres y kor sholdy
f1r	f1r.2	P	A	1	T	A	0	0	sory ckhar or y kair chtaiin shar ase cthar cthar dan
f1r	f1r.3	P	A	1	T	A	0	0	syaiir sheky or ykaiin shod cthoary cthes daraiin sy
f1r	f1r.4	P	A	1	T	A	0	0	soiin oteey oteos roloty cthiar daiin okaiin or okan
f1r	f1r.5	P	A	1	T	A	0	0	sair y chear cthaiin cphar cfhaiin
f1r	f1r.6	P	A	1	T	A	0	1	ydaraishy
f1r	f1r.7	P	A	1	T	A	1	0	odar shol cphoy oydar sh s cfhoaiin shodary
f1r	f1r.8	P	A	1	T	A	0	0	yshey shody okchoy otchol chocthy os chy dain chor kos
f1r	f1r.9	P	A	1	T	A	0	0	daiin shos cfhol shody
f1r	f1r.10	P	A	1	T	A	0	1	dain os teody
f1r	f1r.11	P	A	1	T	A	1	0	ydain cphesaiin ols cphey ytain shoshy cphodal es
f1r	f1r.12	P	A	1	T	A	0	0	oksho kshoy otairin oteol okan shodain sckhey daiin
f1r	f1r.13	P	A	1	T	A	0	0	shoy ckhey kodaiin cphy cphodaiils cthey sho oldain d
f1r	f1r.14	P	A	1	T	A	0	0	dain oiin chol odaiin chodain chdy okain d?n cthy kod
f1r	f1r.15	P	A	1	T	A	0	0	daiin shckhey eo r char shey kol chol chol kor chal
f1r	f1r.16	P	A	1	T	A	0	0	sho chol shodan kshy kchy d or chodaiin sho koeam
f1r	f1r.17	P	A	1	T	A	0	0	ycho tchey chekain sheo pshol dydyd cthy daiy
f1r	f1r.18	P	A	1	T	A	0	0	yto shol she kodshey cphealy dar ain dain ckhyds
f1r	f1r.19	P	A	1	T	A	0	0	dchar shcthaiin okaiir chey @192;chy @130;tol cthols dloo
f1r	f1r.20	P	A	1	T	A	0	0	shok chor chey dain ckhey
f1r	f1r.21	P	A	1	T	A	0	1	otol daiiin
f1r	f1r.22	P	A	1	T	A	1	0	cpho shaiin shokcheey chol tshodeesy shey pydeey cha ro dar
f1r	f1r.23	P	A	1	T	A	0	0	ydoin chol dain cthal dar shear kaiin dar shey cthar
f1r	f1r.24	P	A	1	T	A	0	0	cho ?o kaiin shoaiin okol daiin far cthol daiin ctholdar
f1r	f1r.25	P	A	1	T	A	0	0	ycheey okeey oky daiin okchey kokaiin o?chol k?dchy dal
f1r	f1r.26	P	A	1	T	A	0	0	dcheo shody koshey cthy ok chey keey keey dal chtor
f1r	f1r.27	P	A	1	T	A	0	0	?eo? chol chok choty chotey
f1r	f1r.28	P	A	1	T	A	0	1	dchaiin
f1v	f1v.1	P	A	1	H	A	1	0	kchsy chydaiin olo l tchey char cfhar am
f1v	f1v.2	P	A	1	H	A	0	0	yteey char or ochydcho lkody okodar chody
f1v	f1v.3	P	A	1	H	A	0	0	da ckhy ckhockhy shydksheey cthy kotchody dal
f1v	f1v.4	P	A	1	H	A	0	1	dol chokeo dair damsochey chokody
f1v	f1v.5	P	A	1	H	A	1	0	potoy shol dair cphoaldar chey tody otoaiin shoshy
f1v	f1v.6	P	A	1	H	A	0	0	choky chol ctho l shol okaldolchey chodo lol chy cthy
f1v	f1v.7	P	A	1	H	A	0	0	qo ol choees cheol dol ctheyykol dol dolo ykol do lchiody
f1v	f1v.8	P	A	1	H	A	0	0	okolshol kol kechy chol kychol cthol chody chol daiin
f1v	f1v.9	P	A	1	H	A	0	0	shor okol chol dol ky darshol dchor o tcho dar shody
f1v	f1v.10	P	A	1	H	A	0	1	taor chotchey dal chodyschody pol chodar
f2r	f2r.1	P	A	1	H	A	1	0	kydainy ypchol daiin otchalypchaiin ckholsy
f2r	f2r.2	P	A	1	H	A	0	0	dorchorychkar sshor cthy
