code	plaintext	status
"1^"""	<IL>	R1038 transcription
1^CircleWithHorizontalBar	et	R1038 transcription
1^^	negociatie	R1038 transcription
1^_	<IL>	R1038 transcription
1^o	<IL>	R1038 transcription
2	een	contextual inference
2^CircleWithHorizontalBar	kan	R1038 transcription
2^^	<IL>	R1038 transcription
2^_	hier	R1038 transcription
2^o	<IL>	R1038 transcription
3	dat	R1038 transcription
3^CircleWithHorizontalBar	o	R1038 transcription
3^^	n'est	R1038 transcription
3^_	<IL>	R1038 transcription
3^o	stel	contextual inference
4	een	R1038 transcription
4^CircleWithHorizontalBar	t	R1038 transcription
4^^	n'est	R1038 transcription
4^_	<IL>	R1038 transcription
4^o	<IL>	R1038 transcription
5	i	R1038 transcription
5^CircleWithHorizontalBar	a	R1038 transcription
5^^	ng	R1038 transcription
5^_	<IL>	R1038 transcription
5^o	<IL>	R1038 transcription
6	ne	R1038 transcription
6^CircleWithHorizontalBar	den	R1038 transcription
6^^	nuts?	R1038 transcription
6^_	<IL>	R1038 transcription
6^o	<IL>	R1038 transcription
7	te	contextual inference
7^CircleWithHorizontalBar	et	R1038 transcription
7^^	<IL>	R1038 transcription
7^_	<IL>	R1038 transcription
7^o	<IL>	R1038 transcription
8	zal	R1038 transcription
8^CircleWithHorizontalBar	kon	R1038 transcription
8^^	noch	R1038 transcription
8^_	<IL>	R1038 transcription
8^o	subsidie	R1038 transcription
9	dat	R1038 transcription
9^CircleWithHorizontalBar	o	R1038 transcription
9^^	nog	R1038 transcription
9^_	<IL>	R1038 transcription
9^o	suc	R1038 transcription
10	eerd	R1038 transcription
10^CircleWithHorizontalBar	te	R1038 transcription
10^^	nonce	R1038 transcription
10^_	<IL>	R1038 transcription
10^o	<IL>	R1038 transcription
11	ik	R1038 transcription
11^CircleWithHorizontalBar	<IL>	R1038 transcription
11^^	noore?	R1038 transcription
11^_	<IL>	R1038 transcription
11^o	<IL>	R1038 transcription
12	ni	R1038 transcription
12^CircleWithHorizontalBar	<IL>	R1038 transcription
12^^	note	R1038 transcription
12^_	hoor	R1038 transcription
12^o	ce	R1038 transcription
13	tt	R1038 transcription
13^CircleWithHorizontalBar	waaken	R1038 transcription
13^^	notre	R1038 transcription
13^_	hot	R1038 transcription
13^o	cen	R1038 transcription
14	zond?	R1038 transcription
14^CircleWithHorizontalBar	<EMPTY>	R1038 transcription
14^^	<IL>	R1038 transcription
14^_	dit Hot	R1038 transcription
14^o	i	R1038 transcription
15	daadelyk	R1038 transcription
"15^"""	a	R1038 transcription
15^CircleWithHorizontalBar	waar	R1038 transcription
15^^	nul	R1038 transcription
15^_	<IL>	R1038 transcription
15^o	ne	R1038 transcription
16	daar	R1038 transcription
"16^"""	dit	R1038 transcription
16^CircleWithHorizontalBar	waardoor	R1038 transcription
16^^	oi	R1038 transcription
16^_	<IL>	R1038 transcription
16^o	t	R1038 transcription
17	daar on boven?	R1038 transcription
"17^"""	en	R1038 transcription
17^CircleWithHorizontalBar	waarneemen	R1038 transcription
17^^	obligatie	R1038 transcription
17^_	<IL>	R1038 transcription
17^o	z	R1038 transcription
18	daar legen	R1038 transcription
"18^"""	ik	R1038 transcription
18^CircleWithHorizontalBar	waarschÿlÿk	R1038 transcription
18^^	obsi	R1038 transcription
18^_	<IL>	R1038 transcription
18^o	d	R1038 transcription
19	daar Zal	R1038 transcription
"19^"""	o	R1038 transcription
19^CircleWithHorizontalBar	waar van	R1038 transcription
19^^	<IL>	R1038 transcription
19^_	hun	R1038 transcription
19^o	eerd	R1038 transcription
20	dagelÿks	R1038 transcription
"20^"""	se	R1038 transcription
20^CircleWithHorizontalBar	wanorder	R1038 transcription
20^^	<IL>	R1038 transcription
20^_	hÿ	R1038 transcription
20^o	id	R1038 transcription
21	dagt	R1038 transcription
"21^"""	a	R1038 transcription
21^CircleWithHorizontalBar	was	R1038 transcription
21^^	<IL>	R1038 transcription
21^_	<IL>	R1038 transcription
21^o	ni	R1038 transcription
22	dat een	R1038 transcription
"22^"""	du	R1038 transcription
22^CircleWithHorizontalBar	wat	R1038 transcription
22^^	offer	R1038 transcription
22^_	<IL>	R1038 transcription
22^o	la	R1038 transcription
23	dat nun	R1038 transcription
"23^"""	er	R1038 transcription
23^CircleWithHorizontalBar	weber?	R1038 transcription
23^^	<IL>	R1038 transcription
23^o	zal	R1038 transcription
24	dato	R1038 transcription
"24^"""	il	R1038 transcription
24^CircleWithHorizontalBar	weenen	R1038 transcription
24^^	<IL>	R1038 transcription
24^o	restitutie F	R1038 transcription
25	de	R1038 transcription
"25^"""	oo	R1038 transcription
25^CircleWithHorizontalBar	<IL>	R1038 transcription
25^^	om	R1038 transcription
25^_	ie	contextual inference
25^o	restitutie F	R1038 transcription
26	de	R1038 transcription
"26^"""	t	R1038 transcription
26^CircleWithHorizontalBar	wel	R1038 transcription
26^^	om de	R1038 transcription
26^_	<IL>	R1038 transcription
26^o	retireeren F	R1038 transcription
27	<IL>	R1038 transcription
"27^"""	A	R1038 transcription
27^CircleWithHorizontalBar	wen	R1038 transcription
27^^	<IL>	R1038 transcription
27^_	ig	contextual inference
27^o	retroca?	R1038 transcription
28	declin	R1038 transcription
"28^"""	aan	R1038 transcription
28^CircleWithHorizontalBar	werde	R1038 transcription
28^^	on	R1038 transcription
28^o	revo	R1038 transcription
