run	groups	n	printed text (Parke 1798)
1	2011.381	2	endeavours
2	966.298.534.76.1387.650.1108.389	8	used to pervert
3	435.823.755	3	cousin
4	1584.705.94.2211	4	Electoral Prince
5	2089	1	Saxony
6	526.650.528.616.333.925.99.1127.548.378.811	11	superstitious worship
7	575.683.295.323.500.1369	6	church of Rome
8	91	1	[91: no word in print]
9	724.1604.678.1219.563.393.1893	7	dishonour the Protestant interest
10	1076.755	2	Prince
11	516.738.486.1384.883.167.426.460.354	9	reformation first began
12	422.850.783.676.304.1358.649.450	8	abandon the principles
13	469.624.267.1373	4	holy religion
14	279.1154.755.295.965.426.778.783.823.534.651.968.390	13	a duty incumbent on us to prevent
15	755.401.381.483.450	5	in us lies
16	453.393.705.280.1565	5	fatal a blow
17	839.534.678.523.412.303.1076.833.179	9	you to the said Prince whom
18	609.1415.705.564.1369	5	his arrival at Rome
19	981.885.900.83.755	5	your falling-in
20	894	1	him
21	488.516.624.421.434.441.354.531.343	9	merely accidental
22	894.783.678.519.423.499.1022.468.349.564.519.488	12	him on the road or find him at Rome
23	1579.1068.1479.534.894.421.580.504.355.413.900.616.1113.697	14	deliver our letter to him accompanying it with
24	609.789.664.449.1043	5	his prosperity
25	1895.310.1408.1183.324.615.1031.1779	8	insinuate yourself into his good opinion
26	763.900.325.758.528.446.413	7	keeping him steady
27	789.532.528.563.394.1373	6	Protestant religion
28	981.516.651.812.849.381	6	your representations
29	609.1199	2	his mind
30	326.332.350.678.526.288.472.296.390.784.981.1712	12	him the subject of your commission
31	1722.392.839.534.894.783.509.376.508.523.393.360.625.328.758.904	16	dispatched you to him on purpose to let him know that
32	468.350.1401.545.1036.52?.784.818.1158.446	10	him which we have so often expressed
33	326.310.79	3	he persists
34	466.738.488.378.624.611	6	he formerly had
35	516.483.462.783.755.686.33?.575.324.304.1116.446.480.432.815.466	16	religion in which he was educated he
36	909.1604.1130.516.433.365.1384.755.1068.861	10	and honourable reception in our Court
37	328.333.388.467	4	his
38	468.383	2	his
39	261	1	[261: no word in print]
40	894.820.690.2268.1827	5	him this way
41	468.349.787	3	him
42	466.135.957	3	he
43	385.97.894.1098	4	himself
44	422.474.373.900.609.507.1373	7	abjuring his religion
45	79.326.306.259.627	5	he
46	1897.325.309.893.268	5	he has
47	1055.609.450.432.505	5	make his escape
48	326	1	him (first group, foot of f.184v)
49	332.349.467.2269	4	(him, continued at the head of f.185r)
50	1799.900.894	3	rescuing him
51	465.355.385.466.615.755	6	hands he is in
52	326.758.808	3	him safe
53	1068.582.489.495.783.383.499.1102.500.992.1354.1219.563.391.2211.360.378.1095	18	our dominions or those of any other Protestant Prince or State
54	413.359.683	3	your
55	886.354.839.1053.534.523.308.678.1285.500.1369.738	12	given you leave to see the city of Rome
56	951.332.1384.1071.1016.755.818.391.500.981.602.900.897.198.676.331.676.449	18	suspicion of the true intent of your going thither
57	820.1802.755.1401.545.921.1443.839	8	this service in which we now employ you
58	590.898.354.413.356.400.534.1143.1113.1018.500.1521.562.383.360.316.1095	17	enjoin you to correspond with either of our Secretaries of State
59	981.516.1243	3	your return
60	720.425.295.335.534.2101	6	come back to Turin
61	839.376.564.818.845.309.1607.783.678.1076.500.635.314.683.678.379.966	17	your attendance on the Prince of no further use
