code	plain	confidence	source
∠	v (letter)	confirmed	R9656 f.334 l.1-2 and l.5 'venida'; f.335 faded decipherment d1 'de la venida de'; l.6 'vienen' (d5)
ε&∂	los	probable	R9656 f.334 l.2, l.5 'de los franceses' (ε=l, &=o, ∂=s)
ɡʇʇ8ooʒ	cerca (whole run)	probable	R9656 f.334 l.5, f.335 decipherment d4 'cerca la venida'
oo	n (letter)	probable	R9656 f.334 l.6 ∠α84oo = vienen (d5 'si vienen')
xod	fe	confirmed	1524 R9846 c21 + R9656 f.334v B 'lo que ha fecho' (f.335 decipherment B4)
xic	ha	confirmed	1524 R9846 c20 + R9656 f.334v B 'lo que ha fecho'
xul zar	lo de	confirmed	R9656 f.334v B 'sobre lo de' (f.335 B1); both 1524 values
yi	dize	confirmed	R9645 f.243v gloss 'dize que el' (1524 same)
ter	Rey de Inglaterra	confirmed	R9645 f.243v gloss (1524 same)
zul	con (3ul)	confirmed	R9645 f.243v glosses 'con dezir que', 'mal contentos'
yer	dezir	probable	R9645 f.243v gloss 'con dezir que'
xip	mal	confirmed	R9645 f.243v gloss 'mal contentos' (1524 same)
zun	da	confirmed	R9645 f.243v gloss 'nada' (1524 same)
zƀo	na	probable	R9645 f.243v gloss 'nada'; CONFLICT 1524 xur=na
℔℔ʃop74	havian	probable	R9645 f.243v gloss 'havian'
xod	he-/fe-	confirmed	R9645 gloss 'hechado'
zu	al	confirmed	R9645 gloss 'al duque' (1524 same)
yub	duque?	possible	R9645 gloss 'al duque de Albania' over zu yub zar; CONFLICT 1524 yub=el
ʃ	y (conjunction)	probable	R9645 glosses 'y que havian', 'los Ingleses y la gente'
ʒ	c (letter)	probable	R9645 glosses concertado, escoceses, hechado; CONFLICT 1524 ʒ=p; also read r in 'hizieron'
∞	i (letter)	probable	R9645 glosses Albania, hizieron
T	z (letter)	possible	R9645 gloss 'hizieron'
δ	t (letter)	possible	R9645 gloss 'contentos'
tu	no	confirmed	R9645 gloss 'no' (1524 same)
