token	page	number	word	letter	status
1	1	25	Worcester	W	first@7
2	2	11	rushing	R	first
3	3	39	every	E	first
4	4	4	another	A	first
5	5	4	to	T	first
6	6	10	Language	L	first
7	7	3	of	O	first
8	8	54	real	R	first
9	9	50	divided	D	first
10	10	19	matter	M	first
11	11	1	as	A	first
12	12	18	produce	P	first@9
13	13	1	the	T	first
14	14	5	and	A	first
15	15	9	is	I	first
16	16	58	never	N	first@31
17	17	15	extent	E	first
18	18	1	their	T	first
19	19	4	have	H	first
20	20	17	a	A	first
21	21	1	tenet	T	first
22	22	42	runs	R	first
23	23	32	even	E	first
24	24	77	Grammatical	G	first
25	25	23	teeth	T	first@1
26	26	75	As	A	first@11
27	27	6	for	F	first
28	28	3	after	A	first
29	29	18	my	M	first
30	30	20	in	I	first
31	31	36	Languages	L	first
32	32	8	it	I	first
33	33	21	every	E	first
34	34	4	with	W	first
35	35	10	the	T	first@4
36	36	22	express	E	first
37	37	3	Rules	R	first
38	38	5	every	E	first
39	39	11	out	O	first
40	40	3	fiftiethly	F	first
41	41	162	knowledge	K	first
42	42	18	in	I	first
43	43	21	new	N	first
44	44	44	great	G	first
45	45	79	concealed	C	first
46	46	42	have	H	first
47	47	2	and	A	first
48	48	17	respect	R	first
49	49	61	limits	L	first
50	50	32	strongest	S	first
51	51	7	their	T	first@6
52	52	7	he	H	first
53	53	107	a	A	first@10
54	54	8	shall	S	first
-	55	-	(no number in transcription)	?	
55	56	59	kinde	K	first
56	57	28	Knight	K	first
-	58	-	(no number in transcription)	?	
-	59	-	(no number in transcription)	?	
-	60	-	(no number in transcription)	?	
57	61	54	upon	U	first
-	62	-	(no number in transcription)	?	
-	63	-	(no number in transcription)	?	
-	64	-	(no number in transcription)	?	
-	65	-	(no number in transcription)	?	
58	66	31	Ruven	R	first
59	67	113	William	W	first@19
60	68	42	battel	B	first@3
61	69	1	And	A	first
62	70	6	that	T	first
63	71	96	Denmark	D	first
64	72	31	Gordon	G	first
65	73	87	Rodomontads	R	first
66	74	5	a	A	first
67	75	88	Naples	N	first@53
68	76	1	those	T	first
69	77	4	that	T	first
70	78	30	Henry	H	first
71	79	10	any	A	first@7
72	80	15	therefore	T	first@8
73	81	8	half	H	first
74	82	47	eternal	E	first
75	83	28	duellists	D	first
76	84	17	after	A	first
77	85	139	yet	Y	first
78	86	17	being	B	first
79	87	69	encouragement	E	first
80	88	5	adversary	A	first
81	89	29	respective	R	first
82	90	9	executed	E	first
83	91	9	this	T	first
84	92	1	hand	H	first
85	93	51	external	E	first
86	94	6	faculty	F	first
87	95	114	unprepared	U	first
88	96	8	playing	P	first
89	97	34	a	A	first@15
90	98	30	eloquent	E	first
91	99	2	matter	M	first
92	100	18	extractions	E	first
93	101	24	subtleties	S	first
94	102	41	God	G	first@39
95	103	33	end	E	first
96	104	74	in	I	first
97	105	93	gestures	G	first
98	106	8	servant	S	first
99	107	5	which	W	first
100	108	12	he	H	first
101	109	58	end	E	first
102	110	162	ready	R	first
103	111	12	Drammatical	D	first
104	112	44	excessive	E	first
105	113	1	note	N	first
106	114	66	Gentlemen	G	first
107	115	9	liberty	L	first
108	116	15	if	I	first
109	117	100	several	S	first@98
110	118	42	he	H	first
111	119	2	seemed	S	first
112	120	28	Coach-man	C	first
113	121	16	or	O	first@2
114	122	6	to	T	first
115	123	27	strained	S	first
116	124	4	as	A	first
117	125	196	not	N	first
118	126	70	discourse	D	first
119	127	53	is	I	first
120	128	7	orders	O	first
121	129	1	she	S	first
122	130	69	of	O	first@2
123	131	2	and	A	first
124	132	15	rich	R	first
125	133	89	expectation	E	first
126	134	34	before	B	first
127	135	11	of	O	first
128	136	13	resorts	R	first
129	137	12	no	N	first
130	138	29	exterior	E	first
131	139	15	a	A	first
132	140	76	not	N	first
133	141	40	did	D	first
134	142	22	be	B	first
135	143	8	rows	R	first
136	144	24	elevate	E	first
137	145	75	dead	D	first
138	146	3	and	A	first
139	147	58	and	A	first@3
140	148	15	ducats	D	first
141	149	2	Colonel	C	first
142	150	1	of	O	first
143	151	4	nor	N	first@2
144	152	5	elected	E	first
145	153	56	Russia	R	first
146	154	5	the	T	first
147	155	5	his	H	first
148	156	2	to	T	first
149	157	4	of	O	first
150	158	12	-	_	oor
151	159	20	-	_	oor
-	160	-	(no number in transcription)	?	
152	161	19	included	I	first
153	162	14	the	T	first@7
154	163	80	the	T	first@4
155	164	37	service	S	first
156	165	45	upbraid	U	first
157	166	34	and	A	first@3
158	167	3	plowed	P	first
159	168	95	did	D	first
160	169	6	an	A	first
161	170	38	pain	P	first@4
162	171	1	they	T	first
163	172	18	have	H	first
164	173	11	other	O	first
165	174	27	rebus	R	first
166	175	4	I	I	first
167	176	13	endowments	E	first
168	177	7	improvement	I	first
169	178	24	excellenti	E	first
170	179	5	regular	R	first
171	180	20	ever	E	first
172	181	5	in	I	first
173	182	87	great	G	first
-	183	-	(no number in transcription)	?	
-	184	-	(no number in transcription)	?	
174	185	40	-	_	oor
175	186	25	excelling	E	first
176	187	9	Icon	I	first
177	188	56	not	N	first
178	189	21	many	M	first
179	190	29	in	I	first
180	191	2	Scotish	S	first
181	192	81	nor	N	first@3
182	193	50	of	O	first
183	194	147	the	T	first@9
184	195	2	according	A	first
185	196	6	laws	L	first
186	197	16	people	P	first
187	198	15	Religion	R	first
188	199	14	eminent	E	first
189	200	9	Doctor	D	first
190	201	13	excuse	E	first
191	202	27	committed	C	first
-	203	-	(no number in transcription)	?	
-	204	-	(no number in transcription)	?	
-	205	-	(no number in transcription)	?	
192	206	3	in	I	first
193	207	16	when	W	first
194	208	14	Plato	P	first
-	209	-	(no number in transcription)	?	
195	210	7	professor	P	first
-	211	-	(no number in transcription)	?	
196	212	6	worlds	W	first
197	213	10	most	M	first
198	214	38	Sterlin	S	first
199	215	3	esteemed	E	first
200	216	3	that	T	first
201	217	2	had	H	first
202	218	10	Physician	P	first@8
203	219	34	left	L	first
204	220	8	but	B	first
205	221	18	excellent	E	first
206	222	9	or	O	first
207	223	28	under	U	first
208	224	2	received	R	first
209	225	4	set	S	first
210	226	6	of	O	first
211	227	2	literate	L	first
212	228	201	the	T	first@2
213	229	10	constrained	C	first
214	230	13	experience	E	first
215	231	6	Sinclair	S	first
-	232	-	(no number in transcription)	?	
216	233	1	his	H	first
217	234	36	upon	U	first
218	235	1	wilder	W	first
219	236	31	would	W	first@17
220	237	4	a	A	first
221	-	17	(dropped)		
222	238	54	relation	R	first
223	239	16	he	H	first
224	240	5	emnia	E	first
225	241	22	coming	C	first
226	242	11	be	B	first
227	243	5	of	O	first
228	244	31	Rexdolars	R	first
229	245	71	of	O	first
230	246	96	Eternity	E	first@3
231	247	15	Romania	R	first
232	248	45	excusable	E	first
233	249	19	most	M	first
234	250	6	prefers	P	first
235	251	64	of	O	first@11
236	252	10	remain	R	first
237	253	42	parent	P	first
238	254	7	upon	U	first
239	255	83	when	W	first@1
240	256	37	James	J	first
241	257	6	I	I	first
242	258	3	not	N	first
243	259	7	gaine	G	first
244	260	74	memorable	M	first
245	261	4	of	O	first
246	262	14	nevertheless	N	first
247	263	8	again	A	first
248	264	91	Realms	R	first
249	265	27	comfort	C	first
250	266	12	hath	H	first
251	267	11	and	A	first
252	268	2	name	N	first
253	269	28	dream	D	first
254	270	50	pari	P	first
255	271	68	renewed	R	first
256	272	3	of	O	first
257	273	2	that	T	first
258	274	12	England	E	first
259	275	1	circumobresistence	C	first
260	276	5	the	T	first
261	277	49	of	O	first
262	278	3	Romans	R	first
263	279	7	a	A	first
264	280	7	man	M	first
265	-	95	(dropped)		
266	281	66	first	F	first@12
267	282	1	an	A	first
268	283	11	figures	F	first
269	-	33	(dropped)		
270	-	51	(dropped)		
271	-	50	(dropped)		
272	284	6	so	S	first
