# Known-plaintext pairs, BnF fr. 3484, cipher of Henri IV to Béthune, Nov 1601.
# Token scheme: letters as themselves; marks ' (tick) : (two dots) . (one dot) , (comma after) ^ (ring/hook);
# signs: + cross, ff double-barred cross, $ crossed S, PH phi, HB barred-p/R sign, EP epsilon, LS long-s/paren,
# DL delta-d, BS backslash, T, W (omega), J, B, S (capital S / 8-like), Z (z/3-like with tail), Y (y with flourish);
# figures as written (two-digit groups where the hand joins them).
# Format: id | source | cipher tokens | plaintext (u/v and i/j as written, no accents)

P1 | f.30v gloss 1 | PH HB g' s' x + q v + g g: u: m p g b g, q t. y. + LS 4 ff' ff + g m 63 EP v b f t. g' x v r 4 g t. | la promotion au cardinalat de don alexandre pico de la mirande
P2 | f.30v gloss 2 | t. g' m PH EP e q v + + t. x f g y 63 PH x: t. g' g v ff LS PH Z | de laffection de son frere et de la sienne
P3 | f.30v gloss 3 | t. m 63 x g Z W u LS b a Z g a r, f: p 63 | de fresnes canaye ny par autre
P4 | f.30v gloss 4 | f:, m t. p 4 f, 4 g m 63 g EP o 63 q EP LS Y o $ p x 4 b S EP y v m g v p m f: 70 x, r + g y 63 PH g 4 o f v g q m Z g y ff 4 g. 61 $ S u 4 g, m v m x: 61 $ 66 v. EP g m 4 66 r c b PH EP x PH v + g, | que le dit alexandre ne pretend plus a ceste dignite doutant que son frere na point denfans qui est maladif et quil sattend a la survivre luy
P5 | f.30v gloss 5 | f, q EP u o r f r m p g 4 v 63 + 3 s, u + q EP + g S g EP s, 6 HB e l EP u x, DL, LS f: BS + m r 4 r o HB 4 r PH ff y + $ f v g EP r | le temps ordinaire de faire promotion est si prochain que ie naurois pas assez de loisir
P6 | f.31r gloss | f, T t. g S 61 $ q 63 b + g f v g PH ff g p x, f, 6 m 4 y + r v r ff PH g, p: g, f, r m t. ff x p v g q Z g | le pis est quilz recognoissent que le pape favorise en cela les iesuistes
P7 | f.31v gloss | a g. ff Z g v ff r Z v r p ff LS + u PH ff T ff r r + g g. g p 63 65 m 4 g q 4 r + x ff 61 S f: q l EP p. + b S Z y EP g W f DL + p r + g r o f r p ff i: T u g 65 f g x: T EP LS g EP + g PH + v 63 r: 7 | ung iesuiste nomme personius resident a rome qui est autheur de ceste discorde transporte de passion et pensionnaire du roy despaigne
A | f.34r ll.14-17, minute f.36r | J, DL, m y r: l 4 a g Z p. t. f: t m r p: o 63 p ff f q Z t. m DL b q v y o^ n r f, s: 4 8 x^ B c a q Z l, m g Z r x 4 J LS m y' t HB f LS q Z x: 61 h f, y q f: g PH a: t 63 p: c f m r x 6 m DL n p m m y v b 671 f a, h y a m m r o n a Z r: t r h t r g m p^ x m S ff g b c n r, S y: 63 x m g Z r: s 4 t: x t. h PH Z r a | mais ie fus bien aise davoir ce pretexte de gratifier le dit cardinal et luy tesmoigner ma bonne volonte et quil leust aussi de recevoir ma gratification de sorte ie luy fis payer des lors dix mil escus par lentremise du sieur de sillery
B1 | f.34r l.23, minute f.36r | f: m g Z t: m r u q v m a Z r f, s: 4 8 q, h y a: 3 b t g PH + m g q 63 Z LS g, s, g o ff r m q Z | advise de gratifier le dit cardinal pour luy faire cognoistre en la prosperite
B2 | f.34r l.24 | x, d, c Z y f | que ie veux
B3 | f.34r ll.24-28, minute f.36v | l 63 b t g + m g q 63 f, r o h u m 65 r g 61 S x 4 a, y x, c, 63 b l Z r b DL ff g t g 4 x m q v Z PH g x Z g g ff p: g PH m q Z y r, 70 c, b t x PH u g ff 4 7 3 m 63 PH 61 h m x HB B p: o 4 a Z r f s 4 8 ff m 4 g g f, g o 63 x m Z r r DL p 4 q 63 l, g ff g, g PH Z PH s, b l 4 LS m g Z g, r f x PH Z t: m m p x y h Z g b y n r, f, g x Z g r ff r m + r x ff g x, c, 4 q + p b l Z f, r c 63 x m Z r g | bien recognoistre les plaisirs quil ma faictz que iay recherche son amitie en mes necessitez partant iay commande a mon frere quil face payer au dit cardinal dedans les premiers quatre mois de lannee prochaine la somme de dix mil escus par les mesmes mains que il a touche les premiers
B4 | f.34r ll.28-30, minute f.36v | a g, 63 g q + n q Z g r c r, g, s: Z 4 s l Z g PH ff + g Z x 4 p r r g a f n Z g + m g m DL f: x, h DL, x Z 63 q r + y PH Z 70 m 4 m Z b 7 1 g Z f, s: 4 8 x^ + 65 63 x 4 61 q Z r + g, s, x Z g PH Z x, DL, h y a 4 a a, Z x^ Z g 6 8 Z g + b PH 4 65 + g g h y a q ff r l, m g Z r x 4 J g Z r + h f g q Z r HB c | a larrest obtenu par la dite duchesse de nemours ny au besoing dargent auquel ie me retrouve car iaffectionne le dit cardinal et desire macquitter de la dite promesse que ie luy ay faicte et en toutes occasions luy tesmoigner ma bonne volonte
C | f.34r ll.32-33, minute f.36v | + m 4 b + g 61 h 63 b + y p Z x S m x Z p: g q ff m DL 4 p: m: LS m h f, x Z r LS m q Z q ff g B LS q f, a, g Z b 63 q | de facon quil recoive et estime ceste grace comme elle merite car autrement le fault seroit
