code	plain	confidence	source	conflicts
m̶	f (letter; m with a bar)	confirmed	1524-add: R9869 f.444r l1 o-f-r-e-c-i-o, l21 o-f-r-e-c-e-r; f.444v l4 c-o-n-f-i-a-n-ç-a	
.j.	ç (letter; j between dots)	probable	1524-add: R9869 f.444v l4 confiança	
ʃil	toma (revises tomas-)	confirmed	1524-add: R9869 f.444r l3 ʃil ʇʇ m z tomaron, l6 ʃil 9 m tomado (clear context "no se a tomado resolucion"); f.444v l1	1524: tomas- [probable]
zuc	assi- (upgrade)	confirmed	1524-add: R9869 f.444v l2 zuc 8 z b m = assiento (second context after R9846 v09)	
tef	nec- (upgrade)	confirmed	1524-add: R9869 f.444r l5 and f.444v l5 tef 8 c ω 9 ß 9 = necesidad (second and third contexts)	1522: paz [confirmed]
ƫ	c (letter; hooked sign)	probable	1524-add: R9869 f.444r l5 c-u-n-p-l-i-r-a (one slot)	
∘	r (letter; small circle)	probable	1524-add: R9869 f.444r l5 r-e-s-t-o (one slot)	
ʒ	p (letter; z with descender)	probable	1524-add: R9866 f.285v l14 cun-ʒ-lir; f.285r l16, f.285v l16 ʒ-r-o-u-e-c-h- (provecho)	1522-in-1524-notation: c (letter) [probable]
ε	l (upgrade)	confirmed	1524-add: R9868 f.430r l15-16 c-o-n-s-e-n-t-i-r-l-a (with zil); second context after R9846	
ton	que	confirmed	1524: R9846 passim; re-confirms 1522	
zar	de	confirmed	1524: R9846 passim	
zarε	del	confirmed	1524: R9846 c07,c10,c12,v11; = 1522 zarᵹ	
xul	lo (+c = los)	confirmed	1524: R9846 c05,c09,c17; xul c = los c08,c25	
xug	la (+c = las)	confirmed	1524: R9846 c07,c09,c22; xug c = las v05,v09	
zil	con	confirmed	1524: R9846 c05 contribucion, c25 concierte, v11, v16	
taf	papa	confirmed	1524: R9846 c10,c15,v11,v17	
rab	vuestra magestad	confirmed	1524: R9846 passim	
yof	esta	confirmed	1524: R9846 c08 (estan), v05, v06, v12; = 1522 ɣof	
yaf	es	confirmed	1524: R9846 c06,c10,c18,v03; = 1522 ɣaf	
yub	el	confirmed	1524: R9846 passim; = 1522 ɣub	1522-in-1524-notation: duque? [possible]
yuc	en	confirmed	1524: R9846 c19,c21; = 1522 ɣuc	
sub	si	confirmed	1524: R9846 c07,c11,v06,v16	
ʃu	se	confirmed	1524: R9846 c20,c25,v03,v04,v07	
tu	no	confirmed	1524: R9846 c23,v03,v08	
xon	mas	confirmed	1524: R9846 v02,v11	
teg	para	confirmed	1524: R9846 c11,c16,c17,c22,v06,v16	
zun	da	confirmed	1524: R9846 dado c15, daño c20	
ʃid	Sad	confirmed	1524: R9846 c13	1522: Sa (Su Santidad) [confirmed]
zed	arçobispo	confirmed	1524: R9846 c14	
yif	esto	confirmed	1524: R9846 c14,v03,v07,v08; = 1522 ɣif	
yon	Francia	confirmed	1524: R9846 c21; = 1522 ɣon	
xig	Italia	confirmed	1524: R9846 c10 (xyg), c18; = 1522 xLɡ	
xob	gran	confirmed	1524: R9846 c19,c20,c22,v04; = 1522 xᵹb	
ɣun	fran- (franceses)	confirmed	1524: R9846 c08,c25 (yun)	
ɣin	fue (fue-ra)	probable	1524: R9846 c10; = 1522 ɣm	
yeb	dinero (+r/c = dineros)	confirmed	1524: R9846 c06,c22,v04; = 1522 ɣab	
xu	ha- (xu⁝8 = haze)	confirmed	1524: R9846 c07,c08,c15	1522: hara [probable]
xur	na	confirmed	1524: R9846 c09 determinacion	
xuq	mi	probable	1524: R9846 c09 determinacion	
yo	dicho	confirmed	1524: R9846 c13,c14	
yi	dize	confirmed	1524: R9846 v01,v04	
zu	al	confirmed	1524: R9846 c15,c16	
tor	Rey de Francia	confirmed	1524: R9846 c12,v03	
ʃed	su	confirmed	1524: R9846 c15,c18,v01,v04	
xiq	mejor	confirmed	1524: R9846 c18,v10	
xap	manera	confirmed	1524: R9846 c23,v06	
ʃad	so	confirmed	1524: R9846 sobervia c11, sossiego c17, sostener c23,c24,v05, sobre v12	
ʃop	bi	confirmed	1524: R9846 biesse c11,v06	
tog	por	probable	1524: R9846 c21,v10 (perhaps = top misread)	
ʃel	toda	probable	1524: R9846 c06	
ʃur	visorey	probable	1524: R9846 c07	
zᵉ	agora	probable	1524: R9846 c08	
zam	como	probable	1524: R9846 c09	
tep	quiera	probable	1524: R9846 c09	
ʃan	ba	probable	1524: R9846 c10 bayan	
ye	dizi-	probable	1524: R9846 c16	
yur	en (syllable)	probable	1524: R9846 c16 diziendo	
xar	mo	probable	1524: R9846 c18 memoria	
xic	ha	probable	1524: R9846 c20	
xod	fe	probable	1524: R9846 c21 fecho	1522-in-1524-notation: he-/fe- [confirmed]
tif	parte	probable	1524: R9846 c21	
yol	Flandes	probable	1524: R9846 c21	
yeg	España	probable	1524: R9846 c21	
xip	mal	probable	1524: R9846 c21	
za	aca	probable	1524: R9846 c22,v01	
yal	exercito	probable	1524: R9846 c23	
ʃig	tenga	probable	1524: R9846 c23	
ter	Rey de Inglaterra	probable	1524: R9846 c24	
zaf	Santidad	probable	1524: R9846 v01	
ʃic	sobre	probable	1524: R9846 v04	
ʃm	tiempo	probable	1524: R9846 v04	
rac	yglesia	probable	1524: R9846 v06	
ʃab	dinero	probable	1524: R9846 v07	
tof	parti-	probable	1524: R9846 v10	
maz	fin	probable	1524: R9846 v11	
yef	este	probable	1524: R9846 v12	
xax	guerra	probable	1524: R9846 v16	
7	a (letter)	confirmed	1524: R9846 >15 spelled slots	
ß	a (letter)	confirmed	1524: R9846 ayuda, salida, ayudar, ayudaria, necesidad	
℔	a (letter; word a/ha)	confirmed	1524: R9846 ayuda, aparejo, capua, afloxando, animo	
ʃʃ	a (letter)	probable	1524: R9846 remediar	
ʇʇʇ	b (letter)	confirmed	1524: R9846 sobervia, sobre, buen	
f	c (letter, standing alone)	confirmed	1524: R9846 tribucion, capua, casa, costa, cosas, canse, turco	
9	d (letter)	confirmed	1524: R9846 donde, salida, pudiendo, perdida, recaudo, afloxando	
σ	d (letter)	confirmed	1524: R9846 ayuda, ayudar, dado, necesidad	
8	e (letter)	confirmed	1524: R9846 passim	
(	f (letter)	probable	1524: R9846 afloxando	
ɣ̶	g (letter; ɣ with crossed tail)	confirmed	1524: R9846 seguir x2, segun, engrandecer	
ω	i/j (letter)	confirmed	1524: R9846 tribucion, resistir, remedio, aparejo, reputacion, animo; = 1522 ∞	
α	i (letter)	probable	1524: R9846 salida	
q	l (letter)	probable	1524: R9846 salida	
ʋ	m (letter)	confirmed	1524: R9846 menester, remediar, memoria, temen, animo, me	
4	n (letter)	confirmed	1524: R9846 tribucion, pensar, reputacion, señorear, daño; upgrades 1522 probable	
z	n (letter, standing alone)	confirmed	1524: R9846 menester, donde, sostener, canse, buen, pudiendo	
y	o (letter, standing alone)	confirmed	1524: R9846 tribucion, donde, turco, recaudo, remedio, animo	
m	o (letter)	confirmed	1524: R9846 poco, costa, cosas, aparejo, partido; upgrades 1522 probable	
⊃	p (letter)	confirmed	1524: R9846 pensar; upgrades 1522 probable	
∂̶	p (letter; barred delta-sign)	confirmed	1524: R9846 capua, puede, pueda, perdida, pudiendo, reputacion	
ʇʇ	r (letter)	confirmed	1524: R9846 menester, pensar, resistir, turco, remediar, ayudar	
ρρ	r (letter)	confirmed	1524: R9846 resistir, Luterio	
L	r (letter)	probable	1524: R9846 remedio; CONFLICTS 1522 L = i	
c	s (letter)	confirmed	1524: R9846 menester, pensar, resistir, casa, costa, sostener, cosas	
r	s (letter)	confirmed	1524: R9846 pocos, dineros, cosas, biesse	
b	t (letter)	confirmed	1524: R9846 menester, resistir, turco, voto, costa, sostener, reputacion	
∂	t (letter; unbarred delta-sign)	probable	1524: R9846 tribucion, temen, temiendo; form not yet separated from ∂̶	
φ	u/v (letter)	confirmed	1524: R9846 turco, deve, puede, pudiendo, ayudar, reputacion, seguir, vea	
⊤	u (letter)	confirmed	1524: R9846 ayuda, capua, Luterio, deudas, buen	
♀	x (letter)	confirmed	1524: R9846 abaxar, afloxando	
ʑφ	y (letter and conjunction)	confirmed	1524: R9846 ayuda, ayudar, ayudaria, bayan, destruya; y passim	
⁝	z (letter)	confirmed	1524: R9846 haze x2, hazer	
3	h (letter)	probable	1523-add: R9867 f.351r: aprovechara (x2, 11-sign runs), Hurtado in the signature line	
xi⁝8ʇʇ	hazer	probable	1523-add: R9867 l.08 "zar xi⁝8ʇʇ" = de hazer; cf. xu⁝8 = haze	
tuf	Roma	probable	1523-add: R9867 l.24 "zar tuf ß quatro zar enero Lope Hurtado" = de Roma a quatro de enero	
4ʃL∂8ɛ	provea (spelled)	probable	1523-r9667: R9667 f.6v run E, slot "que V. Mt ___ ... de beneficios a sus criados"; context only; implies 4=p, contradicting 1522 4=n (glyph identity unverified)	
4ʃL∂87xm	proveado/proveydo (spelled)	probable	1523-r9667: R9667 f.6r run D, same stem + 7xm (a-d-o)	
Bens.	beneficios (clear abbreviation)	probable	1523-r9667: R9667 f.6v run E, immediately before clear "a sus criados"	
xun	Magestad (su xun = su Mt, the Emperor, in letters to Gattinara)	confirmed	retry-2026-09-21: retry: R9866 R3 l8 "si su xun puede", R9 l7 "su xun provea", R13 l15 "por parte de su xun"; R9868 R17 l20 "que su xun mande tomar"; 7/7 contexts after ʃed/clear "su"	
xor	mu (syllable; mui, mudado)	confirmed	retry-2026-09-21: retry: R9869 R6 "xor dado de proposito" = mudado; R9868 R17 "es xor i provechoso" = mui provechoso; R9866 R14 "xor ʑφ dañosos" = muy dañosos; upgrades 1522-B mu/mo	1522-B: mu/mo [probable]
ʃub	si (homophone of sub; ʃub+n = sin)	confirmed	retry-2026-09-21: retry: R9846 c17 so-ʃub-e-g-o = sossiego (crib line 12); R9866 R3 "tregua ʃub los franceses", R9 l6 "que ʃub no son"; R9868 R17 "ʃub entienden"; R9867 l12 "ʃub n" = sin; = 1522 ʃubʒ sin	
ʃom	tregua	confirmed	retry-2026-09-21: retry: R9846 v09 crib "tregua o paz antes"; R9866 R3 l10 "de tef ti ʃom" = de paz ni tregua	
ti	ni	confirmed	retry-2026-09-21: retry: R9866 R3 l10 "paz ni tregua"; R9695 B03 "en Francia ti c.." rewritten in clear as "en Francia ni cosa del Rey de Francia"; upgrades 1522-B probable	
ʃif	tan	confirmed	retry-2026-09-21: retry: R9846 c14 crib "tanbien" (= ʃif zef); R9866 R5 l16 "ʃif t o" = tanto; R9866 R14 l16 "ʃif provech-" = tan provechosa	
zef	bien	confirmed	retry-2026-09-21: retry: R9846 c14 crib "tanbien" with ʃif = tan independently fixed; consistent R9867 l05 "xed zef" (muy bien), R9695 B01 "el zef" (el bien)	
ʃal	esta (homophone of yof)	probable	retry-2026-09-21: retry: R9866 R9 l7 "lo de aca ʃal perdido" = esta perdido; R14 l18 "ʃal r i a n" = estarian; R9867 l18, R9868 R10 unclear	
ʃob	segun	confirmed	retry-2026-09-21: retry: R9846 v05 crib "sostener segun las deudas" (exact); R9867 l05 "muy bien ʃob estavan" = segun estavan; R9846 v10 (clear "veniessen") CONFLICTS, probably a different or misread group	
xed	muy	probable	retry-2026-09-21: retry: only before zef (R9867 l05, R9695 A01) = muy bien	
yac	ello (+c = ellos)	probable	retry-2026-09-21: retry: R9846 c13 clear "ayudar a ello" (non-exact slot); R9866 R7 l23 "de yac c" = dellos	
zic	aqui	probable	retry-2026-09-21: retry: R9866 R5 "el exercito que zic tiene"; R9867 l17 "lo de zic es escusado", l20 "lo que sucediere zic", l23 "porque zic no"; aqui vs alli not decided	
ʃon	son	probable	retry-2026-09-21: retry: R9867 l11 "que aqui ʃon poco[s] para sacar dineros", l18 "ʃon bien ..ado"	
tul	quando	probable	retry-2026-09-21: retry: R9869 R8 "lo que el papa envio a ofrecer a V.Md tul [o] fue elegido" (Clement VII, elected Nov 1523); R9868 R13 "su padre tul era"; other two contexts unclear	
ʃec	pero	probable	retry-2026-09-21: retry: R9867 l14 "si los franceses quedan en Italia, ʃec lo de aca estara"; R9869 R2 "cumplira el resto ... ʃec dize su necesidad"	
zur	assi (look-alike of zuc)	probable	retry-2026-09-21: retry: R9867 l04 "y zur mismo lo que" = y assimismo	
ʃul	Beatitud (su Bt)	probable	retry-2026-09-21: retry: R9868 R11 "los que son mas cerca de su ʃul", parallel to the clear of R9695 "los que son mas cerca de Su Bt"	
xel	les (look-alike of xil c)	probable	retry-2026-09-21: retry: R9868 R5 "porque no xel c tomara"	
tur	obra (+c = obras)	probable	retry-2026-09-21: retry: R9869 R12 "quiera dios que tales sean las tur c" after clear "voluntad y palabras ... mejores"	
xac	guerra (look-alike of xax)	probable	retry-2026-09-21: retry: R9869 R7 "aparejo para sostener la xac aca"; CSP 617 "maintenance of the army"	
yiz	dizen (yi + z)	probable	retry-2026-09-21: retry: R9867 l13 "los que zet yiz que no los tienen"	
to	no	probable	retry-2026-09-21: retry: R9866 R14 l18 "to ʃal rian" = no estarian; homophone set tu/ta	
ʃer	ser	probable	retry-2026-09-21: retry: R9695 A11 "que con ʃer para"; A07 unclear	
tar	Rey de Francia (misread of tor?)	probable	retry-2026-09-21: retry: R9695 B03 "ni cosa de tar" vs clear rewrite "ni cosa del Rey de Francia"	
∠	v (letter)	confirmed	1522-in-1524-notation: R9656 f.334 l.1-2 and l.5 'venida'; f.335 faded decipherment d1 'de la venida de'; l.6 'vienen' (d5)	
ε&∂	los	probable	1522-in-1524-notation: R9656 f.334 l.2, l.5 'de los franceses' (ε=l, &=o, ∂=s)	
ɡʇʇ8ooʒ	cerca (whole run)	probable	1522-in-1524-notation: R9656 f.334 l.5, f.335 decipherment d4 'cerca la venida'	
oo	n (letter)	probable	1522-in-1524-notation: R9656 f.334 l.6 ∠α84oo = vienen (d5 'si vienen')	1522-B: e [confirmed]
xul zar	lo de	confirmed	1522-in-1524-notation: R9656 f.334v B 'sobre lo de' (f.335 B1); both 1524 values	
zul	con (3ul)	confirmed	1522-in-1524-notation: R9645 f.243v glosses 'con dezir que', 'mal contentos'	
yer	dezir	probable	1522-in-1524-notation: R9645 f.243v gloss 'con dezir que'	
zƀo	na	probable	1522-in-1524-notation: R9645 f.243v gloss 'nada'; CONFLICT 1524 xur=na	
℔℔ʃop74	havian	probable	1522-in-1524-notation: R9645 f.243v gloss 'havian'	
ʃ	y (conjunction)	probable	1522-in-1524-notation: R9645 glosses 'y que havian', 'los Ingleses y la gente'	
∞	i (letter)	probable	1522-in-1524-notation: R9645 glosses Albania, hizieron	
T	z (letter)	possible	1522-in-1524-notation: R9645 gloss 'hizieron'	
δ	t (letter)	possible	1522-in-1524-notation: R9645 gloss 'contentos'	
zuf	cardenal	confirmed	1522-B: R9649 f.266 run 1 vs clerk's clear f.268, exact slot "el Cardenal de Santa Cruz"	
yan	fortaleza	confirmed	1522-B: R9649 run 2 exact slot "en la fortaleza de Ostia"	
tun	querria	confirmed	1522-B: R9649 run 2 exact slot "porque no querria darsela"	
yc	c	confirmed	1522-B: upgrade of 'y(looped)': R9646 ofrecer, creo + R9649 Cruz, licenciado (looped g-like sign, not 1524 y=o)	
yib	duque	probable	1522-B: R9646 run 1 "con el duque de Ferrara", parallel clear two lines on	
zan	como	probable	1522-B: R9646 run 1 "escrevi a v. Mt. como el papa era concertado"; = 1524 zam	
tab	nunca	confirmed	1522: same run	
xud	hombre	confirmed	1522: same run	
ym	fue	confirmed	1522: same run	
top	por	confirmed	1522: three contexts: "top ton" = porque; and "zun top" immediately before the clear "descargo de los q", where the plaintext reads "da por descargo de lo que dexa"; and R9650 f.270 "xil to7 top | disimular en este caso"	
ymε	arcobispo	probable	1522: same	
xett	gastar	probable	1522: "y no gastar nada"	
ta	no	confirmed	1522: R9644 f.238 vs clear f.241, fully aligned run "no les dar nada y diria que no queria que lo"; a homophone of tu	
xil	le (+s = les)	confirmed	1522: same run	
tod	otro (+s = otros)	confirmed	1522: R9644 f.238 "los otros si no los", exact slot	
tad	obligado	probable	1522: section A, in the slot "lo que es obligado"	
ʃuf	tanta	probable	1522: same slot	
yεb	duque	confirmed	1522: R9644 f.237 "ℋ zarᵹ ɣᵹb" at the clear's "del duque" — the Duke of Sessa, imperial ambassador at Rome	
yab	dinero	probable	1522: same line, slot "gran suma de dinero a Leon"	
xεb	gran	probable	1522: same line	
tel	pues	confirmed	1522: R9644 f.239 section C, exact slot "pues queda de la guerra honrrado"; followed by ton+zun = que+da = "queda"	
yed	embaxador	probable	1522: same sentence, slot "por enbiar embaxador a su Sa"	
