group	value	confidence	evidence
288	me	M	p.1 "[1119] il [288] paroitroit inutile"; "je tacherai de [288] mettre en etat de vous en rendre compte". Probably the key's 208 'me' with my own 0/8 doubt on the image, or a homophone
532	trois	H	"il y a ici deux ou [532] ... Anglois"
19	sais	M	"je [19] qu'il y a ici deux ou trois"
602	besoins	M	"feroit croire nos [602] plus grands qu'ils ne sont"
311	ce qui	?	"...qu'ils ne sont; [311] feroit augmenter les precautions"
567	qu'il	?	"et ce [567] fait je tacherai..."; p.2 "qu'il croiroit [567] etoit des..."
816	ambassade	M	"secretaire d'[816] d'Espagne a Paris"
371	p	M	"com[371]ton" three times (Compton, a name) on p.2
1096	?	?	"Compton [1096]" twice (p.2 l.2 read 1596 on the image, surely 1096); R1074 guessed 'Ir'
978	courrier/Nord	?	"les lettres du [978] de Londres ne nous ont rien apporte de nouveau"
990	dit/repondu	?	"sur quoi [bo][1022] m'a [990] qu'il ne..."
