code	reading	confidence	note
846	gee	medium	left-word column (col5 = words written far left); row of 554/627 geeerde; may be abbreviated geeerde
553	hoogst gedachte	high	626 hoogst gedachte, 845 hoog gedachte
723	gevangen	high	651 gevan-, 795 krygsgevangen parallel
797	gering	high	653/725 gering parallel
714	gemeen	high	642 gemeen, 786 gemeene beste
738	groot	medium	810 groot, 736 Graaf/808 de Graaf above
590	groot?	low	faint row; parallel to 666/738/810 (groot) by column offsets 76/72/72
792	gerucht?	low	faint; 791 gerecht, 720 ger...t
718	genieten?	low	faint
583	gezant	medium	659 gezant parallel
658	gunnen?	low	faint, starts g..nn..
592	unreadable	low	faint; row after 591 Gun...; context suggests gunst(ig)
581	(blank)	high	row 581 and parallels 657/729/801 have no word in the book
874	gewaande?	low	left-word column, row of 578; faint two-word entry ge.aa..de. ...
178	eerst	high	col1; 251 eerstelijk beside
217	explicatie	high	290 expliceeren beside
485	equipage	medium	left-word column (col6 words written far left) on row of 195 equipagen/268 equipement
226	faveur	medium	col1 after 225 fau; faint
297	familie	medium	224 famille in col1; faint
299	favoriet?	low	col2 after 298 faute; faint, f..ri..
367	fa...	low	col3, faint; row of 294 fabriq; letters fa.. only
749^"	communiceeren	high	left-word column; row of 445/521/597/673 all communiceeren
748^"	commercie	medium	left-word column row reads Comm...e; parallels 520/596 commercie, 672 commercie en navigatie
528^"	confidentie	medium	col2, faint; follows 527 confer...
614^"	copie?	low	col3 after 613 conv..; reads Cop..
617^"	Cour...?	low	col3; 615-617 all begin Cou/la Cour; exact form unreadable
511^"	unreadable	unreadable	col2 row 511 too faint (c..e?); 512 cel, 513 cha
54^"	alle	high	130 alle, 205 alle parallel
71^"	appuyeeren	high	col1; 70 apparentie above
147^"	appui / appuyeeren?	medium	col2 row after 146 apo..; faint word Ap.ui.., parallel to 71 appuyeeren
271^"	accessie?	medium	col4; acce..ie with mark; 195 accedeeren nearby
284^"	hooge geallieerde	high	col4; 58 geallieerde Mogendheden, 208 geallieerde
314^"	behe...	low	col4 bottom, between 313 begon and 315 beide; short word Behe.., rest faint
969^"	dif	medium	col3; 970 difficulteit below, 968 dien above
963^"	dev?	low	col3 after 962 deselfs; short word de./dev, possibly der
922^"	ed..?	low	col2 bottom, faint; after 921 e...; 'ed' would give educatie in context
927	hoewel	high	col2; left-word column also hoewel
939	houde(n)	medium	col2 hou.de; left words houd/houden, right col 16 houde
950	iets	medium	col2 between 949 iedereen and 951 ig
75^_	het	high	underlined col 73-144: 73 hem, 74 hen, 75 het, 76 het geene
85^_	hoogheid?	low	underlined col; after 84 hoogst edele; word hoo.hee.. faint and overwritten
