01 | avoir une depesche de monseigneur le Conte addressee a monseigneur dalu?e, et mes?? lettres de
01-note | "dalu?e": penultimate letter ambiguous (dalume/daluye); before "lettres" (lres with tilde) a word like "mes"/"aussi" with long-s pair, not securely read
02 | monseigneur de Langey, avec les miennes au Roy, et a vous. Le tout a este addresse a monseigneur
03 | le Legat Salviati, ou a l ambassade du pape, desquelz vous avez tout receu, Parquoy ne
04 | vous en faictz replicque.
05 | estant?? [...] n?e ?o?? [...] monseigneur [...] me??e pe???e madi? ?no?e
05-note | gloss line very faint; "monseigneur" clear at left-half end; right half small cursive only partly resolved
06 | au? ? l egli?e nouvelles [...] qui [...] les [...] ?e?d depui? ?? marquis de
06-note | "nouvelles", "qui", "les" and "marquis de" clear; line runs on into 07 gloss
07 | salu??? ?fai?te de nostre ?ai? [...] ?? main??ienn? [...] a ?a?t?? en
07-note | first word continues "marquis de" from 06, so likely Saluces, but only "salu" secure; "de nostre" clear
08 | qui [...] ?nd??? [...] camp? [...] de lombardye [...] a? amo?en? [...] ??? ?dmi?t qui? ??t
08-note | "de Lombardye" clear at right of left half; rest of gloss faint and broken
