group	value	conf	evidence
992	r/er	H	employer, donner, demander, acquérir, chirurgien; amb_M r/er
1016	cette	H	cette année, cette pêche, cette affaire; amb_M
502	l'/l	H	l'Italien, l'Angleterre, à l'augmentation, condition·ne·l·le·ment
503	la	H	je ne vous la demanderois; de la communiquer; de la retirer
1184	Etats	H	les Etats de Hollande; l'état de guerre; l'état présent de notre marine
294	Hollande	H	Etats de Hollande; en Hollande; pêche hollandaise (294+e)
945	peu/peut/puis	M	le peuple (le 945 le), si je puis, qui peut accorder
834	elle/le	M	si elle se conduit; faire elle intéresse; Belle-Isle (537 834 1099)
729	ca	H	capitaine x5 (729 pi ta j ne)
300	les	H	les ordres, les arrangements, les deux capitaines
1116	rés/rez/res	M	se sont sépa-rés; vous ver-rez; lumiè-res
898	it/uit	M	tradu-it, extra-it, condu-it
1000	il	H	il y a deux ans; il y est parlé; il m'a dit de plus
1135	ses	M	acci-ses; de ses; de ses sujets
495	su/sup	M	pré-su-mer; sup-plé-ment
481	da/dam	H	Bre-da; Lowen-da-l; Amster-dam
631	avoit	M	M. de Hatzel m'avoit écrit; qu'il avoit emmené
868	in	M	in-dubitable; in-troduct(ion)
936	soit/voit	M	se laissoit entraîner; en envoit
500	n'/ndr	?	je pre-500-ai (prendrai); 500 étant point; context unclear
830	est	M	il est indubitable; La Combe est le même; il est dit
228	gi	H	chirur-gi-en x2; re-gi-s(tre)
422	assembl	H	se rassembler; l'assemblée
674	20	H	le 674 de ce mois; Bussemaker 59: tot den 20sten
727	mois	H	de ce mois
887	désir	H	ceux qui la désirent (887 435)
435	nt	M	désire-nt
1015	année	H	cette année / l'année précédente
200	ons	M	mais-ons (taxe des maisons, Bussemaker woningen); avons
42	générale	M	augmentation générale sur les accises (Bussemaker algemeene); fermier général
900	dis/dim	M	dis-crédit(eroit); dim-inuer; entre-tenir?
754	rendre	H	vous rendre compte x2
327	écrit	M	M. de Hatzel m'avoit écrit; qui écrivoit de Londres
813	ger	M	encoura-ger
879	nos	H	nos matelots; nos bureaux
171	République	H	d'être ... de la République; entre l'Angleterre et la République
537	Bel	M	Maréchal de Belle-Isle
1099	isle/is	M	Belle-Isle; Paris (par-1099)
107	null	H	end of letter
377	parl	M	il y est parlé; la gazette ne parle que des deux
116	titre?	?	point un 116 (favour not a right); pour 116 487 l'affaire
487	ler	?	pour 116-ler l'affaire
1188	succès	H	sans succès (align value)
683	trouver	M	employer pour trouver
65	seule	?	cette seule proposition arrêtera tout
981	x	M	si-x-ième (Bussemaker zesden opslag)
225	c	H	ré-du-c-tion
803	porte	?	les Etats ne se porteront point à une opération
357	opé	M	une opé-ration
431	é	?	chez l'étranger
612	g	M	hareng
263	a	?	encour-a-ger
1084	essen	M	paru essentiel (1084 + 'ressent j 557')
557	el	M	essenti-el
1160	trop	?	nous n'avons que trop de...
299	conséquence	?	d'une grande conséquence
336	favoriser	?	de voir favoriser (Bussemaker bevoordeelen)
408	ailleurs	M	D'ailleurs
125	étant	M	n'étant point un titre et n'étant que momentanée
823	grâce	?	cette grâce n'étant point; cette grâce est de ...
1114	bonne	M	le prix de la bonne conduite
100	conduite	M	le prix de la bonne conduite
363	ne	?	auroit cru ne ...
184	quit	?	cessé d'être quitte de la République
101	gne	M	les éloigne-roit l'un de l'autre
167	met	H	en me met-tant à portée
1143	lais	M	se laissoit entraîner
63	?	?	de ses 63
214	ou	?	vous envoyer 214 ou 664 un 890
890	état	?	un état
989	qu'on	M	un homme qu'on nomme La Combe; qu'on nomme M...n
1166	présent	M	l'état présent de notre marine
874	ro	M	int-ro-duct
604	verr	M	je verrai aujourd'hui l'Italien
109	ordonnez	?	ce que vous m'ordonnez
466	dépêche	M	le sujet de ma dépêche
812	ble	H	indubita-ble
700	deman	M	vous demander les ordres
280	gard	H	à cet égard
1010	de	M	M. de Hatzel
71	que	?	les lumières que j'ai cherché à acquérir
716	Ams	H	gazette d'Amsterdam
921	article	M	un article de Paris
675	2	?	du 2 (date of article)
808	est	M	il y est parlé
970	projet	?	passeports du ...
