# Partial reconstruction of the Spanish general cipher Cg.13 (Devos 1950 numbering; Tomokiyo "Cg.13 (1587)") from the two
# known-plaintext pairs in BnF fr. 3641: f. 10 / f. 14 (letter A) and f. 12 / f. 76 (letter B), Philip II to Mendoza,
# 7 Sept 1589. 17 Sept 2026. Evidence column: number of independent word positions where the value was required by the
# decipherer's clear text (2+ = confirmed; 1 = single position; T = also in Tomokiyo's published fragment of the table,
# spanish3.htm, image habsburg1.png; D = only the 1589 decipherer's reading, not checkable; * = contextual proposal, unread
# by the 1589 decipherer and not in any published key).
# symbol	value	evidence	examples   (P = read by Phelippes interlinearly on f. 5 and checked on the image)
# --- single symbols (letters) ---
n	a (also stands for "al" before a consonant)	2+	n 24 = a su; n 79: = algun; n 97 = al bien; n: = an
b	u	2+	b 40 n = una; b: = un; b+ 38 = ur-di; n b 12: 72 n = ausencia
m	e	2+	m: = en; m. = es; 38 m 50 = diera; 47 22 m 21 = quisiesse
9	e	2+	9. = es; 9: = en; 9: 11: 38 m 53: = entendieron
g	el / e	2+	g bam = el cuydado; 39 g = del; g: = en
1	o	2+	1. = os; 1: = on; 42 1 = nio (Antonio)
7	y	2+	7 = y; 7. = ys (teneys, avreys, soleys, vays)
18	yo	2	46 18 11: 78 = que yo tengo; 22 18 21 06 m 21 = si yo hiziesse
8	a	T	Tomokiyo's table (A = 8, n); not needed in these two letters
5	d?	T	Tomokiyo's table; here only in 5 19 21 m 51: = refieren (uncertain)
# --- two-figure syllables, rows of five in vowel order a e i o u (some rows reversed) ---
10	ta	2+	10: = tan; 10 = ta (esta, desta, juntamente); 10ʹ = tra (trateys, traman)
11	te	2+	teneys, tener, entender; 11: = ten; 11ʹ = tre (entregar)
12	ti	2+	castillo, lastima, tiene
13	to	2+	todo (1337), toca, proposito, Antonio
14	tu	1	14 57 m 51 = tuviere
20	sa	2+	salieron, salir, pasados, pensamiento, sabe
21	se	2+	se han, desse, quisiesse
22	si	2+	sido, si, confusion, siendo, sino
23	so	2	solo, soleys
24	su	2+	su cargo, su servicio; 24. = sus
30	da	2+	Andrada (30ʹ 30), dandoles (30: 37 86.), dado, andar (30+)
36	du	2	dudo, duplicar
37	do	2+	escapado, sido, dado; 37. = dos
38	di	2+	dixo, entendieron, remedio, urdiendo
39	de	2+	de; 39. = des; 39: = den; 39+ = der
40	na	2	una, alguna
41	ne	2+	Bearne, tiene, ponerlo?, armaçones
42	ni	2+	vernian, Antonio, conviniere
43	no	2+	manos, no, algunos
44	nu	2	Manuel, menudo
46	que	2+	que (the syllable que of the qu-row 45-49)
47	qui	1	quisiesse
50	ra	2+	considerar, parar, avisara, procurado
51	re	2+	remedio, parecido, tuviere, pidiere; 51: = ren
53	ro	2+	53: = ron (salieron, entendieron, embiaron)
55	va	2+	va, llevar (86̄ 55+), vays
56	ve	2+	deve, haver (56+ = ver), deven (56:)
57	vi	2+	tuviere, conviniere, bolvio, vias
58	vo	1	58 = vo(s)
60	ma	2+	Manuel, manos, mas (60.), tomado
61	me	2+	me, hazerme, entregarme, dandome
62	mi	2+	mi, encaminar
64	mu	1	muerte (64+)
65	pa	2+	papeles? no: pasados, parar, parecido, passa
66	pe	2+	pensamiento (66:), perdone, suspendierades (66:)
67	pi	2	pidiere, duplicar (67 with l)
68	po	2+	proposito (68 68), ponerlo; 68+ = por
69	pu	2+	puedo, pueden, publico, pues (69 m.)
70	ca / ça	2+	escapado, castillo, encaminar, boca, traçan (70:); 70+ = car
72	ci	2+	negociacion, parecido, ausencia
73	co	2+	73: = con; publico
74	cu	1	procurado
75	ga	2+	ponga, convenga, encargaros (75+ = gar), lengua (79 n)
78	go	2+	tengo, algo, Goda, negociacion
79	gu	2+	segun (79:), algun, alguna, lengua
80	ha	2+	han (80:), ha sido, hazer, halla
85	la	2+	la, las (85.), lla (halla, castellano)
86	le	2+	les (86.), soleys, lle (86̄, llevar)
87	li	2+	salieron, salir
88	lo	2+	lo, los (88.), llo (88̄, castillo)
90	fu	1	confusion
92	fi	1	fin (92:)
94	fa	1	falta
95	bu	2	buen (95 m:, 95 9:)
96	bo	2	boca, bolvio
97	bi	2+	bien (97 m:), embiaron, embialdo
98	be	2	Bearne (98 n+ 41), sabe
99	ba	T	Tomokiyo's table
105	ze(r)	2	hazer (80 105), twice in letter B
06	zi	1	hiziesse
28	xo	1	dixo
31	ju	1	juntamente (31:)
# --- marks after a group ---
:	+n	2+	10: tan, 73: con, 9: en, 80: han, 1: on
.	+s	2+	85. las, 88. los, 37. dos, 9. es, 7. ys, 24. sus
+	+r	2+	68+ por, 56+ ver, 70+ car, 75+ gar, 39+ der, n+ ar
ʹ (stroke above)	r after the consonant	2+	30ʹ dra, 10ʹ tra, 51ʹ cre, 68ʹ pro
̄ (bar)	doubled l	2	86̄ lle, 88̄ llo
# --- groups read by Phelippes interlinearly on f. 5 (Parma to Philip II, 30 Dec 1588, same cipher), checked here on the image ---
bur	persona	P	bur. = personas (a personas de servicio)
dom	dicho	P	por la del dicho don Juan (68+ 85 39 dom 37: 31 n:)
dur	porque	P	lo desden porque se fue (88 39: 39: dur 21 90 9)
pen	mucho	P	pen+. = muchos (f. 5); pen+ 57 n. = muchas vias (f. 12)
mis	V. M. (Vuestra Magestad)	P	que V.M. se ha servido de mandarme
