index	base_number	proposed_plaintext	R1040_raw_variants
1	896	woensdag	8 9 6 | 8^' 9 6
2	790	heeft	7 9 0
3	91	den	9 1^_
4	588	heer	5 8 8
7	543	os	5 4 3 | 5^__ 4^__ 3
8	401	ter	4 0^_ 1^_
9	320	man	3 2 0
10	939	het	9^' 3 9
14	852	zijne	8^'' 5 2
15	812	excell	8 1 2
16	326	entie	3 2^_ 6 | 3^_ 2^_ 6 | ^_ 3^_ 2^_ 6
17	991	ze	9 9 1 | 9^_ 9^_ 1^_
22	422	kennis	4^' 2 2
24	23	haare	2^_ 3^_ | 2^__ 3^__
25	68	majesteit	6 8 | 6^'' 8
26	325	te	3 2^__ 5 | 3^'' 2 5 | 3^__ 2^__ 5 | ^_ 3 2^__ 5
29	14	en	1^'' 4
30	132	doch	1^_ 3^_ 2^_ | 1^__ 3^__ 2^__
31	790	niet	7 9 0
32	109	d	1 0^' 9
35	667	zo	6^' 6 7 | 6^_ 6^_ 7
36	345	sch	3 4^_ 5^_ | 3^_ 4^_ 5
37	115	ie	1 1 5
39	931	te	9 3 1
40	215	be	2 1 5 | 2 1^' 5 | 2^' 1 5 | ^_ 2^' 1 5
43	318	geen	3 1^_ 8 | 3 1^_ 8^_ | 3^_ 1^_ 8
48	518	voor	5 1 8 | 5^' 1 8
49	91	komt	9 1^_
50	958	is	9 5 8 | 9 5^' 8 | 9 5^_ 8 | 9^'' 5 8 | 9^_ 5^_ 8
54	345	hier	3 4^_ 5^_ | 3^_ 4^_ 5
55	161	vaneen	1 6 1
56	215	courier	2 1 5 | 2 1^' 5 | 2^' 1 5 | ^_ 2^' 1 5
57	93	welke	9 3 | 9 3^'' | 9 3^__ | 9^'' 3 | 9^__ 3^__
60	116	n	1 1^' 6 | 1^' 1 6 | 1^_ 1^_ 6^_
61	11	agt	1 1
62	101	na	1^__ 0^__ 1^__
63	664	west	6 6 4
64	131	waar	1 3^_ 1^_ | 1^_ 3^_ 1 | 1^_ 3^_ 1^_
65	991	t	9 9 1 | 9^_ 9^_ 1^_
66	72	s	7^' 2 | ^_ 7^' 2
67	68	zou	6 8 | 6^'' 8
68	922	zijn	9^' 2 2
69	266	endat	2^'' 6 6
70	589	al	5 8^' 9 | 5^' 8 9 | 5^'' 8 9
71	671	hoe	6 7^__ 1^__ | 6^' 7 1 | 6^__ 7^__ 1^__
74	796	graaf	7^'' 9 6
75	996	os	9 9 6
76	184	ter	1 8 4 | 1^'' 8 4 | ^_ 1^' 8 4
78	285	mij	2^' 8 5
79	107	ge	1^__ 0^__ 7
82	912	dat	9 1^_ 2
84	565	ver	5^'' 6 5 | ^_ 5^'' 6 5
85	529	zond	5 2 9 | 5^'' 2 9
86	942	en	9^' 4 2
88	667	even	6^' 6 7 | 6^_ 6^_ 7
89	485	wel	4 8^_ 5 | 4^'' 8 5
90	466	mij	4 6 6 | 4^'' 6 6
91	597	verzekerd	5^'' 9 7
93	186	dat	1 8^_ 6 | 1^'' 8 6 | 1^_ 8^_ 6 | ^_ 1^'' 8 6
95	100	dien	1^__ 0^__ 0 | 1^__ 0^__ 0^__
99	724	gaan	7^'' 2 4 | 7^_ 2^_ 4
101	260	ik	2 6 0
102	851	noch	8^__ 5^__ 1 | 8^__ 5^__ 1^__
105	252	e	2^'' 5 2
106	862	min	8^' 6 2
107	990	is	9^__ 9^__ 0
108	19	tre	1 9^' | 1^' 9 | ^_ 1^_ 9^_
111	997	kunnen	9 9 7 | 9^_ 9^_ 7
114	758	geen	7^_ 5^_ 8^_ | 7^__ 5^__ 8
115	812	waarmede	8 1 2
