code	plain	confidence	source
xun	Magestad (su xun = su Mt, the Emperor, in letters to Gattinara)	confirmed	retry: R9866 R3 l8 "si su xun puede", R9 l7 "su xun provea", R13 l15 "por parte de su xun"; R9868 R17 l20 "que su xun mande tomar"; 7/7 contexts after ʃed/clear "su"
xor	mu (syllable; mui, mudado)	confirmed	retry: R9869 R6 "xor dado de proposito" = mudado; R9868 R17 "es xor i provechoso" = mui provechoso; R9866 R14 "xor ʑφ dañosos" = muy dañosos; upgrades 1522-B mu/mo
ʃub	si (homophone of sub; ʃub+n = sin)	confirmed	retry: R9846 c17 so-ʃub-e-g-o = sossiego (crib line 12); R9866 R3 "tregua ʃub los franceses", R9 l6 "que ʃub no son"; R9868 R17 "ʃub entienden"; R9867 l12 "ʃub n" = sin; = 1522 ʃubʒ sin
ʃom	tregua	confirmed	retry: R9846 v09 crib "tregua o paz antes"; R9866 R3 l10 "de tef ti ʃom" = de paz ni tregua
ti	ni	confirmed	retry: R9866 R3 l10 "paz ni tregua"; R9695 B03 "en Francia ti c.." rewritten in clear as "en Francia ni cosa del Rey de Francia"; upgrades 1522-B probable
ʃif	tan	confirmed	retry: R9846 c14 crib "tanbien" (= ʃif zef); R9866 R5 l16 "ʃif t o" = tanto; R9866 R14 l16 "ʃif provech-" = tan provechosa
zef	bien	confirmed	retry: R9846 c14 crib "tanbien" with ʃif = tan independently fixed; consistent R9867 l05 "xed zef" (muy bien), R9695 B01 "el zef" (el bien)
ʃal	esta (homophone of yof)	probable	retry: R9866 R9 l7 "lo de aca ʃal perdido" = esta perdido; R14 l18 "ʃal r i a n" = estarian; R9867 l18, R9868 R10 unclear
ʃob	segun	confirmed	retry: R9846 v05 crib "sostener segun las deudas" (exact); R9867 l05 "muy bien ʃob estavan" = segun estavan; R9846 v10 (clear "veniessen") CONFLICTS, probably a different or misread group
xed	muy	probable	retry: only before zef (R9867 l05, R9695 A01) = muy bien
yac	ello (+c = ellos)	probable	retry: R9846 c13 clear "ayudar a ello" (non-exact slot); R9866 R7 l23 "de yac c" = dellos
zic	aqui	probable	retry: R9866 R5 "el exercito que zic tiene"; R9867 l17 "lo de zic es escusado", l20 "lo que sucediere zic", l23 "porque zic no"; aqui vs alli not decided
ʃon	son	probable	retry: R9867 l11 "que aqui ʃon poco[s] para sacar dineros", l18 "ʃon bien ..ado"
tul	quando	probable	retry: R9869 R8 "lo que el papa envio a ofrecer a V.Md tul [o] fue elegido" (Clement VII, elected Nov 1523); R9868 R13 "su padre tul era"; other two contexts unclear
ʃec	pero	probable	retry: R9867 l14 "si los franceses quedan en Italia, ʃec lo de aca estara"; R9869 R2 "cumplira el resto ... ʃec dize su necesidad"
zur	assi (look-alike of zuc)	probable	retry: R9867 l04 "y zur mismo lo que" = y assimismo
ʃul	Beatitud (su Bt)	probable	retry: R9868 R11 "los que son mas cerca de su ʃul", parallel to the clear of R9695 "los que son mas cerca de Su Bt"
xel	les (look-alike of xil c)	probable	retry: R9868 R5 "porque no xel c tomara"
tur	obra (+c = obras)	probable	retry: R9869 R12 "quiera dios que tales sean las tur c" after clear "voluntad y palabras ... mejores"
xac	guerra (look-alike of xax)	probable	retry: R9869 R7 "aparejo para sostener la xac aca"; CSP 617 "maintenance of the army"
yiz	dizen (yi + z)	probable	retry: R9867 l13 "los que zet yiz que no los tienen"
to	no	probable	retry: R9866 R14 l18 "to ʃal rian" = no estarian; homophone set tu/ta
ʃer	ser	probable	retry: R9695 A11 "que con ʃer para"; A07 unclear
tar	Rey de Francia (misread of tor?)	probable	retry: R9695 B03 "ni cosa de tar" vs clear rewrite "ni cosa del Rey de Francia"
