index	group	plain	conf
0	865	j'ai	H
1	960	vu	H
2	828	ce	H
3	6	ma	H
4	588	ti	H
5	580	n	H
6	645	un	H
7	171	Republicain	M
8	740	avec	H
9	870	le	H
10	979	quel	H
11	243	j'	M
12	470	eus	H
13	645	une	H
14	806	lon	M
15	1142	gue	H
16	896	disser	M
17	239	ta	?
18	172	ta	M
19	1070	tion	M
20	899	sur	H
21	582	l'	H
22	123	augmentation	M
23	1020	. Apres	M
24	889	lui	H
25	835	en	H
26	631	avoir	H
27	1018	de	M
28	454	mon	H
29	1058	tre	H
30	582	l'	H
31	868	in	H
32	1193	utilite	H
33	593	et	H
34	565	meme	H
35	870	le	H
36	768	dan	M
37	813	ger	H
38	549	quant	M
39	739	aux	H
40	720	af	?
41	431	fai	?
42	1008	res [etrangeres il?]	?
43	245	m'	M
44	202	a	H
45	924	avoue	M
46	31	que	H
47	1159	si	H
48	938	on	H
49	583	la	H
50	849	fai	M
51	936	soit	H
52	828	ce	H
53	580	n'	H
54	842	etoit	H
55	31	que	H
56	1017	re	H
57	583	la	M
58	588	ti	H
59	663	ve	H
60	308	ment	H
61	202	a	H
62	828	ce	H
63	984	qu'on	H
64	631	avoit	H
65	362	a	H
66	939	craindre	M
67	521	du	H
68	945	peu [(+) omission before]	M
69	1127	se	H
70	1119	ront	M
71	513	necessaires	M
72	13	.	H
73	569	vous	H
74	684	ver	H
75	1116	rez	H
76	768	dans	H
77	870	le	H
78	139	pla	M
79	47	car	H
80	707	d	?
81	966	pour	H
82	878	le	H
83	516	j	H
84	470	eu	H
85	134	ne	H
86	645	une	H
87	509	expres	M
88	735	sion	M
89	12	[assez ridicule?]	?
90	966	pour	H
91	572	qu'il	H
92	139	pla	M
93	1099	is	M
94	1021	e	M
95	739	au	H
96	841	ci	M
97	557	el	M
98	219	de	H
99	847	faire	H
100	992	r	H
101	1075	ent	H
102	407	rer	M
103	582	l'	H
104	1021	e	M
105	954	pe	H
106	1021	e	M
107	715	am	M
108	79	bi	H
109	588	ti	M
110	626	euse	?
111	768	dans	H
112	870	le	H
113	03	fou	M
114	1017	re	H
115	739	au	H
116	13	.	H
117	105	[null?]	?
118	23	je	H
119	1094	joins	H
120	860	?	?
121	257	ici	H
122	583	la	H
123	848	copie	H
124	219	de	H
125	583	la	H
126	1146	lettre	H
127	31	que	H
128	322	Madame	M
129	787	t	?
130	992	r	?
131	938	on	?
132	580	chin?	?
133	245	m'	M
134	362	a	H
135	327	ecrite	M
136	10	sa	H
137	130	ga	M
138	398	ze	M
139	787	t	M
140	856	te	M
141	842	etoit	H
142	712	im	M
143	432	pri	H
144	208	mee	M
145	504	aparem	H
146	308	ment	H
147	392	lors	M
148	979	qu'elle	H
149	362	a	H
150	1053	recu	M
151	6	ma	H
152	1146	lettre	H
153	870	le	H
154	495	sup	M
155	576	p	M
156	864	le	M
157	308	ment	H
158	134	ne	H
159	582	l'	H
160	842	etoit	H
161	943	pas	H
162	13	.	H
163	946	plus	H
164	879	nos	?
165	164	ennemis	M
166	622	cher	H
167	435	chent	M
168	362	a	H
169	683	trouve	M
170	992	r	M
171	521	du	H
172	726	mystere	M
173	768	dans	H
174	582	l'	H
175	629	ho	M
176	992	r	H
177	579	ri	H
178	812	ble	M
179	37	ac	H
180	1070	tion	M
181	521	du	H
182	237	cinq	H
183	219	de	H
184	828	ce	H
185	727	mois	H
186	946	plus	H
187	23	je	H
188	766	crois	H
189	895	devoir	H
190	847	faire	H
191	530	pu	M
192	914	blier	M
193	1175	[,]	?
194	572	qu'il	H
195	752	paroit	M
196	31	que	H
197	1016	cet	H
198	90	ex	H
199	1021	e	M
200	43	cra	M
201	812	ble	M
202	1022	as	M
203	10	sa	M
204	797	s	M
205	1159	si	M
206	580	n	M
207	580	n'	M
208	202	a	H
209	948	point	M
210	470	eu	H
211	219	de	H
212	949	com	H
213	696	pli	M
214	833	ces	H
215	13	.	H
216	107	[null?]	?
217	23	je	H
218	1127	se	H
219	1126	rois	H
220	340	tres [clear copy: bien]	M
221	54	fa	?
222	50	che	M
223	219	de	H
224	582	l'	H
225	868	in	H
226	1193	utilite	H
227	521	du	H
228	937	courrier	H
229	31	que	H
230	23	je	H
231	569	vous	H
232	702	ai	M
233	452	envoye	H
234	1159	si	H
235	23	je	H
236	580	n'	H
237	631	avois	H
238	470	eu	H
239	362	a	H
240	569	vous	H
241	847	faire	H
242	306	par	H
243	707	t	M
244	330	aussi	M
245	219	de	H
246	583	la	H
247	421	demande	M
248	1044	qui	H
249	745	doit	H
250	1127	se	H
251	847	faire	H
252	202	a	H
253	292	Londres	M
254	10	[.?]	?
