code	value	source	confidence
134	tost	fr.3983 f.166 l.1 (plus tost; 136.134 bientost)	C
192	choisir (?) (resouldre 192 un roy)	fr.3983 f.166 l.2	C
142	affectionne	fr.3983 f.166 l.8 (fort 142 de V.A.)	C
104	dire (?)	fr.3983 f.166 l.9 (je puis 104 avec verite)	C
102	aller	fr.3983 f.166 l.11 (partira pour 102 vers V.A.)	C
133	incontinant	fr.3983 f.166 l.11	C
221	mariage	fr.3983 f.166 l.15	C
129	donner	fr.3983 f.166r l.16-18, f.166v l.6-7	C
181	Bar	fr.3983 f.166r l.16 (souverainete de 181)	C
94	pratique(s)/menees: deciphered "apres" (f.166r l.13), "negotiation" (f.166v l.1), "menees" (f.166v l.5)	fr.3983 f.166	C
98	affaires	fr.3983 f.166v l.4 (les 98 de V.A. en Provence)	C
233	Court (de parlement)	fr.3983 f.166v l.5	C
100	condescendre	fr.3983 f.166v l.6 (faire 100 le duc de Mayenne)	C
191	le juriste (deciphered "et Juristo"; the docteur with Feria)	fr.3983 f.166v l.7	C
190	argent	fr.3983 f.166v l.8 (secours d 190)	C
294	sieur de Carces	fr.3983 f.166v l.8 (au 294; decipherment "au s. de Carces")	C
164	filz	fr.3983 f.166v l.12 (le 164 de Vaudemont)	C
229	(left as 229 in the contemporary decipherment)	fr.3983 f.166r l.18	-
115	celuy (?) (a este 115 de faire)	fr.3984 no.86 canvas 340 l.3	C
24	l Infante	fr.3984 canvas 340 l.4 (apres que 24 ...)	H
84	negotiation	fr.3984 canvas 340 l.10 (gloss negotiation over 342.8gg4+..84)	H
327	Espagnol(s) (gloss Espagnolz; 327 with ooo = plural)	fr.3984 canvas 340 l.12-13	H
142	serviteur(s)? (canvas 340 l.12 des principaulx 327.142 et 236; in no.80 deciphered affectionne)	fr.3984 canvas 340 l.12	C
236	capitaines	fr.3984 canvas 340 l.12	C
423	ennemis	fr.3984 canvas 340 l.12	C
226	des (?)	fr.3984 canvas 340 l.13	C
85	(part of "Mr le Cardinal" gloss span 85.64.170; unresolved)	fr.3984 canvas 340 l.13	?
64	(part of "Mr le Cardinal" gloss span 85.64.170; unresolved)	fr.3984 canvas 340 l.13	?
71	Pelve (Cardinal de Pelve; gloss "Pelue")	fr.3984 canvas 340 l.13	H
396	a peu	fr.3984 canvas 340 l.13 (qu il 396 pour accommoder)	C
98	affaires (confirmed)	fr.3984 canvas 340 l.14	H
257	parvenir (faire 257 = faire parvenir; gloss read first as "faveur")	fr.3984 f.182r l.6 (canvas 339) and f.182v l.16 (canvas 340)	H
348	estre	fr.3984 canvas 340 l.16	C
177	faict (fait pape)	fr.3984 canvas 340 l.16	C
192	choisir (confirmed: gloss "choisir" over 192)	fr.3984 f.182v (canvas 340) l.18	H
358	jamais	fr.3984 f.182r l.3	C
250	tout (gloss over it in fr.3985 f.23 last line "de tout ce qu il"; also fr.3984 f.182v "fait tout ce"). The no.80 "paix" reading of 250 was probably 254	fr.3985 f.23 l.9; fr.3984 f.182v l.13	H
254	paix (gloss "la paix" over 362.254; no.80 f.166r l.13 "faire 25? avec le Roy de Navarre" = paix, re-check digit)	fr.3985 f.23 l.2	H
255	tresve (gloss "la tresve" over 362.255)	fr.3985 f.23 l.2	H
297	catholiques (gloss "les catho." over wg.297)	fr.3985 f.23 l.5	H
323	comme (?)	fr.3985 f.23 l.5	C
352	fera (?) (il 352 plustost)	fr.3985 f.23 l.5	C
369	mande	fr.3985 f.23 l.7	H
314	Rome (?) (gloss "en Rome")	fr.3985 f.23 l.7	C
