code	plain	confidence	source
ton	que	confirmed	R9846 passim; re-confirms 1522
zar	de	confirmed	R9846 passim
zarε	del	confirmed	R9846 c07,c10,c12,v11; = 1522 zarᵹ
xul	lo (+c = los)	confirmed	R9846 c05,c09,c17; xul c = los c08,c25
xug	la (+c = las)	confirmed	R9846 c07,c09,c22; xug c = las v05,v09
zil	con	confirmed	R9846 c05 contribucion, c25 concierte, v11, v16
taf	papa	confirmed	R9846 c10,c15,v11,v17
rab	vuestra magestad	confirmed	R9846 passim
yof	esta	confirmed	R9846 c08 (estan), v05, v06, v12; = 1522 ɣof
yaf	es	confirmed	R9846 c06,c10,c18,v03; = 1522 ɣaf
yub	el	confirmed	R9846 passim; = 1522 ɣub
yuc	en	confirmed	R9846 c19,c21; = 1522 ɣuc
sub	si	confirmed	R9846 c07,c11,v06,v16
ʃu	se	confirmed	R9846 c20,c25,v03,v04,v07
tu	no	confirmed	R9846 c23,v03,v08
xon	mas	confirmed	R9846 v02,v11
teg	para	confirmed	R9846 c11,c16,c17,c22,v06,v16
zun	da	confirmed	R9846 dado c15, daño c20
ʃid	Sad	confirmed	R9846 c13
zed	arçobispo	confirmed	R9846 c14
yif	esto	confirmed	R9846 c14,v03,v07,v08; = 1522 ɣif
yon	Francia	confirmed	R9846 c21; = 1522 ɣon
xig	Italia	confirmed	R9846 c10 (xyg), c18; = 1522 xLɡ
xob	gran	confirmed	R9846 c19,c20,c22,v04; = 1522 xᵹb
ɣun	fran- (franceses)	confirmed	R9846 c08,c25 (yun)
ɣin	fue (fue-ra)	probable	R9846 c10; = 1522 ɣm
yeb	dinero (+r/c = dineros)	confirmed	R9846 c06,c22,v04; = 1522 ɣab
xu	ha- (xu⁝8 = haze)	confirmed	R9846 c07,c08,c15
xur	na	confirmed	R9846 c09 determinacion
xuq	mi	probable	R9846 c09 determinacion
yo	dicho	confirmed	R9846 c13,c14
yi	dize	confirmed	R9846 v01,v04
zu	al	confirmed	R9846 c15,c16
tor	Rey de Francia	confirmed	R9846 c12,v03
ʃed	su	confirmed	R9846 c15,c18,v01,v04
xiq	mejor	confirmed	R9846 c18,v10
xap	manera	confirmed	R9846 c23,v06
ʃad	so	confirmed	R9846 sobervia c11, sossiego c17, sostener c23,c24,v05, sobre v12
ʃop	bi	confirmed	R9846 biesse c11,v06
tef	nec- (necesidad)	probable	R9846 v10,v15; CONFLICTS 1522 tef = paz
tog	por	probable	R9846 c21,v10 (perhaps = top misread)
ʃel	toda	probable	R9846 c06
ʃur	visorey	probable	R9846 c07
zᵉ	agora	probable	R9846 c08
zam	como	probable	R9846 c09
tep	quiera	probable	R9846 c09
ʃan	ba	probable	R9846 c10 bayan
ye	dizi-	probable	R9846 c16
yur	en (syllable)	probable	R9846 c16 diziendo
xar	mo	probable	R9846 c18 memoria
xic	ha	probable	R9846 c20
xod	fe	probable	R9846 c21 fecho
tif	parte	probable	R9846 c21
yol	Flandes	probable	R9846 c21
yeg	España	probable	R9846 c21
xip	mal	probable	R9846 c21
za	aca	probable	R9846 c22,v01
yal	exercito	probable	R9846 c23
ʃig	tenga	probable	R9846 c23
ter	Rey de Inglaterra	probable	R9846 c24
zaf	Santidad	probable	R9846 v01
ʃic	sobre	probable	R9846 v04
ʃm	tiempo	probable	R9846 v04
rac	yglesia	probable	R9846 v06
ʃab	dinero	probable	R9846 v07
ʃil	tomas-	probable	R9846 v09
zuc	assi- (assiento)	probable	R9846 v09
tof	parti-	probable	R9846 v10
maz	fin	probable	R9846 v11
yef	este	probable	R9846 v12
xax	guerra	probable	R9846 v16
7	a (letter)	confirmed	R9846 >15 spelled slots
ß	a (letter)	confirmed	R9846 ayuda, salida, ayudar, ayudaria, necesidad
℔	a (letter; word a/ha)	confirmed	R9846 ayuda, aparejo, capua, afloxando, animo
ʃʃ	a (letter)	probable	R9846 remediar
ʇʇʇ	b (letter)	confirmed	R9846 sobervia, sobre, buen
f	c (letter, standing alone)	confirmed	R9846 tribucion, capua, casa, costa, cosas, canse, turco
9	d (letter)	confirmed	R9846 donde, salida, pudiendo, perdida, recaudo, afloxando
σ	d (letter)	confirmed	R9846 ayuda, ayudar, dado, necesidad
8	e (letter)	confirmed	R9846 passim
(	f (letter)	probable	R9846 afloxando
ɣ̶	g (letter; ɣ with crossed tail)	confirmed	R9846 seguir x2, segun, engrandecer
ω	i/j (letter)	confirmed	R9846 tribucion, resistir, remedio, aparejo, reputacion, animo; = 1522 ∞
α	i (letter)	probable	R9846 salida
ε	l (letter)	confirmed	R9846 Luterio, afloxando
q	l (letter)	probable	R9846 salida
ʋ	m (letter)	confirmed	R9846 menester, remediar, memoria, temen, animo, me
4	n (letter)	confirmed	R9846 tribucion, pensar, reputacion, señorear, daño; upgrades 1522 probable
z	n (letter, standing alone)	confirmed	R9846 menester, donde, sostener, canse, buen, pudiendo
y	o (letter, standing alone)	confirmed	R9846 tribucion, donde, turco, recaudo, remedio, animo
m	o (letter)	confirmed	R9846 poco, costa, cosas, aparejo, partido; upgrades 1522 probable
⊃	p (letter)	confirmed	R9846 pensar; upgrades 1522 probable
∂̶	p (letter; barred delta-sign)	confirmed	R9846 capua, puede, pueda, perdida, pudiendo, reputacion
ʇʇ	r (letter)	confirmed	R9846 menester, pensar, resistir, turco, remediar, ayudar
ρρ	r (letter)	confirmed	R9846 resistir, Luterio
L	r (letter)	probable	R9846 remedio; CONFLICTS 1522 L = i
c	s (letter)	confirmed	R9846 menester, pensar, resistir, casa, costa, sostener, cosas
r	s (letter)	confirmed	R9846 pocos, dineros, cosas, biesse
b	t (letter)	confirmed	R9846 menester, resistir, turco, voto, costa, sostener, reputacion
∂	t (letter; unbarred delta-sign)	probable	R9846 tribucion, temen, temiendo; form not yet separated from ∂̶
φ	u/v (letter)	confirmed	R9846 turco, deve, puede, pudiendo, ayudar, reputacion, seguir, vea
⊤	u (letter)	confirmed	R9846 ayuda, capua, Luterio, deudas, buen
♀	x (letter)	confirmed	R9846 abaxar, afloxando
ʑφ	y (letter and conjunction)	confirmed	R9846 ayuda, ayudar, ayudaria, bayan, destruya; y passim
⁝	z (letter)	confirmed	R9846 haze x2, hazer
