k	n	word	letter	first	first_index_of_letter
1	25	Worcester	W	False	7
2	11	rushing	R	True	11
3	39	every	E	True	39
4	4	another	A	True	4
5	4	to	T	True	4
6	10	Language	L	True	10
7	3	of	O	True	3
8	54	real	R	True	54
9	50	divided	D	True	50
10	19	matter	M	True	19
11	1	as	A	True	1
12	18	produce	P	False	9
13	1	the	T	True	1
14	5	and	A	True	5
15	9	is	I	True	9
16	58	never	N	False	31
17	15	extent	E	True	15
18	1	their	T	True	1
19	4	have	H	True	4
20	17	a	A	True	17
21	1	tenet	T	True	1
22	42	runs	R	True	42
23	32	even	E	True	32
24	77	Grammatical	G	True	77
25	23	teeth	T	False	1
26	75	As	A	False	11
27	6	for	F	True	6
28	3	after	A	True	3
29	18	my	M	True	18
30	20	in	I	True	20
31	36	Languages	L	True	36
32	8	it	I	True	8
33	21	every	E	True	21
34	4	with	W	True	4
35	10	the	T	False	4
36	22	express	E	True	22
37	3	Rules	R	True	3
38	5	every	E	True	5
39	11	out	O	True	11
40	3	fiftiethly	F	True	3
41	162	knowledge	K	True	162
42	18	in	I	True	18
43	21	new	N	True	21
44	44	great	G	True	44
45	79	concealed	C	True	79
46	42	have	H	True	42
47	2	and	A	True	2
48	17	respect	R	True	17
49	61	limits	L	True	61
50	32	strongest	S	True	32
51	7	their	T	False	6
52	7	he	H	True	7
53	107	a	A	False	10
54	8	shall	S	True	8
55	59	their	T	False	1
56	28	Cretians	C	True	28
57	54	of	O	True	54
58	31	notorious	N	True	31
59	113	this	T	False	12
60	42	in	I	True	42
61	31	say	S	True	31
62	5	themselves	T	True	5
63	19	any	A	False	5
64	32	esse	E	True	32
65	3	High-Germans	H	True	3
66	115	in	I	False	4
67	3	and	A	True	3
68	22	discretion	D	True	22
69	1	And	A	True	1
70	16	no	N	True	16
71	96	Denmark	D	True	96
72	31	Gordon	G	True	31
73	87	Rodomontads	R	True	87
74	5	a	A	True	5
75	88	Naples	N	False	53
76	1	those	T	True	1
77	4	that	T	True	4
78	30	Henry	H	True	30
79	10	any	A	False	7
80	15	therefore	T	False	8
81	8	half	H	True	8
82	47	eternal	E	True	47
83	28	duellists	D	True	28
84	17	after	A	True	17
85	139	yet	Y	True	139
86	17	being	B	True	17
87	69	encouragement	E	True	69
88	5	adversary	A	True	5
89	29	respective	R	True	29
90	9	executed	E	True	9
91	9	this	T	True	9
92	1	hand	H	True	1
93	51	external	E	True	51
94	6	faculty	F	True	6
95	114	unprepared	U	True	114
96	8	playing	P	True	8
